**** Fuel:    201 GAS         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88
2026  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92
2027  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96
2028  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69
2029  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73
2030   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77
2031   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82
2032   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86
2033    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9
2034   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2035   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2036   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2037   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2038   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2039   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
**** Fuel:    203 GAS (203)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88
2026  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92
2027  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96
2028  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69
2029  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73
2030   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77
2031   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82
2032   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86
2033    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9
2034   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2035   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2036   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2037   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2038   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2039   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
**** Fuel:    204 GAS (204)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88
2026  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92
2027  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96
2028  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69
2029  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73
2030   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77
2031   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82
2032   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86
2033    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9
2034   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2035   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2036   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2037   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2038   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2039   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
**** Fuel:    205 GAS (205)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88
2026  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92
2027  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96
2028  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69
2029  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73
2030   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77
2031   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82
2032   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86
2033    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9
2034   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2035   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2036   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2037   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2038   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2039   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
**** Fuel:    140 GAS (140)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88
2026  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92
2027  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96
2028  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69
2029  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73
2030   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77
2031   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82
2032   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86
2033    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9
2034   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2035   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2036   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2037   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2038   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
2039   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
**** Fuel:    207 GAS (207)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88  104.88
2026  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92  103.92
2027  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96  102.96
2028  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69  101.69
2029  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73  100.73
2030   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77   99.77
2031   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82   98.82
2032   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86   97.86
2033    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9    96.9
2034   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31   95.31
