**** Fuel:    258 GAS (258)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  862.18  862.18  862.18  862.18  862.18  862.18  862.18  862.18  862.18  862.18  862.18  862.18
2026  857.42  857.42  857.42  857.42  857.42  857.42  857.42  857.42  857.42  857.42  857.42  857.42
2027  854.26  854.26  854.26  854.26  854.26  854.26  854.26  854.26  854.26  854.26  854.26  854.26
2028  851.08  851.08  851.08  851.08  851.08  851.08  851.08  851.08  851.08  851.08  851.08  851.08
2029  847.92  847.92  847.92  847.92  847.92  847.92  847.92  847.92  847.92  847.92  847.92  847.92
2030  844.76  844.76  844.76  844.76  844.76  844.76  844.76  844.76  844.76  844.76  844.76  844.76
2031  844.27  844.27  844.27  844.27  844.27  844.27  844.27  844.27  844.27  844.27  844.27  844.27
2032  844.63  844.63  844.63  844.63  844.63  844.63  844.63  844.63  844.63  844.63  844.63  844.63
2033  833.89  833.89  833.89  833.89  833.89  833.89  833.89  833.89  833.89  833.89  833.89  833.89
2034  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82
2035  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82
2036  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82
2037  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82
2038  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82
2039  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82  824.82
**** Fuel:    517 GAS (517)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025     652     652     652     652     652     652     652     652     652     652     652     652
2026     651     651     651     651     651     651     651     651     651     651     651     651
2027     631     631     631     631     631     631     631     631     631     631     631     631
2028     688     688     688     688     688     688     688     688     688     688     688     688
2029     691     691     691     691     691     691     691     691     691     691     691     691
2030     695     695     695     695     695     695     695     695     695     695     695     695
2031     699     699     699     699     699     699     699     699     699     699     699     699
2032     703     703     703     703     703     703     703     703     703     703     703     703
2033     707     707     707     707     707     707     707     707     707     707     707     707
2034     713     713     713     713     713     713     713     713     713     713     713     713
2035     716     716     716     716     716     716     716     716     716     716     716     716
2036     720     720     720     720     720     720     720     720     720     720     720     720
2037     726     726     726     726     726     726     726     726     726     726     726     726
2038     730     730     730     730     730     730     730     730     730     730     730     730
2039     734     734     734     734     734     734     734     734     734     734     734     734
**** Fuel:    521 GAS (521)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025     304     304     304     304     304     304     304     304     304     304     304     304
2026     304     304     304     304     304     304     304     304     304     304     304     304
2027     300     300     300     300     300     300     300     300     300     300     300     300
2028     315     315     315     315     315     315     315     315     315     315     315     315
2029     304     304     304     304     304     304     304     304     304     304     304     304
2030     305     305     305     305     305     305     305     305     305     305     305     305
2031     305     305     305     305     305     305     305     305     305     305     305     305
2032     305     305     305     305     305     305     305     305     305     305     305     305
2033     305     305     305     305     305     305     305     305     305     305     305     305
2034     305     305     305     305     305     305     305     305     305     305     305     305
2035     305     305     305     305     305     305     305     305     305     305     305     305
2036     305     305     305     305     305     305     305     305     305     305     305     305
2037     305     305     305     305     305     305     305     305     305     305     305     305
2038     305     305     305     305     305     305     305     305     305     305     305     305
2039     305     305     305     305     305     305     305     305     305     305     305     305
**** Fuel:    768 GAS (768)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025     773     773     773     773     773     773     773     773     773     773     773     773
2026   816.5   816.5   816.5   816.5   816.5   816.5   816.5   816.5   816.5   816.5   816.5   816.5
2027  819.92  819.92  819.92  819.92  819.92  819.92  819.92  819.92  819.92  819.92  819.92  819.92
