$version=1
!Code,Name,DCLink,System,Area,Zone,BaseVoltage,ControlType,Polarity,GroundResistance
10,RET-ITAIPU01,1,5,998,,600,1,+,0
20,INV-ITAIPU01,1,1,998,,600,0,+,0
30,NTR-ITAIPU01,1,5,998,,600,0,+,0
40,NTI-ITAIPU01,1,1,998,,600,0,+,0
50,RET-ITAIPU02,2,5,998,,600,1,+,0
60,INV-ITAIPU02,2,1,998,,600,0,+,0
70,NTR-ITAIPU02,2,5,998,,600,0,+,0
80,NTI-ITAIPU02,2,1,998,,600,0,+,0
90,RET-ITAIPU03,3,5,998,,600,1,+,0
100,INV-ITAIPU03,3,1,998,,600,0,+,0
110,NTR-ITAIPU03,3,5,998,,600,0,+,0
120,NTI-ITAIPU03,3,1,105,,600,0,+,0
130,RET-ITAIPU04,4,5,998,,600,1,+,0
140,INV-ITAIPU04,4,1,108,,600,0,+,0
150,NTR-ITAIPU04,4,5,108,,600,0,+,0
160,NTI-ITAIPU04,4,1,998,,600,0,+,0
1101,RET--M.ABB01,1001,6,998,,600,1,+,0
1102,INV--M.ABB01,1001,1,998,,600,0,+,0
1103,NTR--M.ABB01,1001,6,998,,600,0,+,0
1104,NTI--M.ABB01,1001,1,998,,600,0,+,0
1105,RET--M.ABB02,1002,6,998,,600,1,+,0
1106,INV--M.ABB02,1002,1,998,,600,0,+,0
1107,NTR--M.ABB02,1002,6,998,,600,0,+,0
1108,NTI--M.ABB02,1002,1,998,,600,0,+,0
1109,RET-M.AREV01,1003,6,998,,600,1,+,0
1110,INV-M.AREV01,1003,1,998,,600,0,+,0
1111,NTR-M.AREV01,1003,6,998,,600,0,+,0
1112,NTI-M.AREV01,1003,1,998,,600,0,+,0
1113,RET-M.AREV02,1004,6,998,,600,1,+,0
1114,INV-M.AREV02,1004,1,998,,600,0,+,0
1115,NTR-M.AREV02,1004,6,998,,600,0,+,0
1116,NTI-M.AREV02,1004,1,998,,600,0,+,0
2101,RET--M.BTB01,2001,6,33,,101.8,1,+,0
2102,INV--M.BTB01,2001,6,33,,101.8,0,+,0
2103,NTR--M.BTB01,2001,6,33,,101.8,0,+,0
2104,NTI--M.BTB01,2001,6,33,,101.8,0,+,0
2105,RET--M.BTB02,2002,6,33,,101.8,1,+,0
2106,INV--M.BTB02,2002,6,33,,101.8,0,+,0
2107,NTR--M.BTB02,2002,6,33,,101.8,0,+,0
2108,NTI--M.BTB02,2002,6,33,,101.8,0,+,0
3101,RET-XI-EST01,3001,4,53,,800,1,+,0
3102,INV-XI-EST01,3001,1,53,,800,0,+,0
3103,NTR-XI-EST01,3001,4,53,,800,0,+,0
3104,NTI-XI-EST01,3001,1,53,,800,0,+,0
3105,RET-XI-EST02,3002,4,53,,800,1,+,0
3106,INV-XI-EST02,3002,1,53,,800,0,+,0
3107,NTR-XI-EST02,3002,4,53,,800,0,+,0
3108,NTI-XI-EST02,3002,1,53,,800,0,+,0
3109,RET-XI-TRI01,3003,4,998,,800,1,+,0
3110,INV-XI-TRI01,3003,1,998,,800,0,+,0
3111,NTR-XI-TRI01,3003,4,998,,800,0,+,0
3112,NTI-XI-TRI01,3003,1,998,,800,0,+,0
3113,RET-XI-TRI02,3004,4,998,,800,1,+,0
3114,INV-XI-TRI02,3004,1,998,,800,0,+,0
3115,NTR-XI-TRI02,3004,4,998,,800,0,+,0
3116,NTI-XI-TRI02,3004,1,998,,800,0,+,0
5101,RET--BPB--01,5001,4,998,,800,1,+,0
5102,INV--BPB--01,5001,1,998,,800,0,+,0
5103,NTR--BPB--01,5001,4,998,,800,0,+,0
5104,NTI--BPB--01,5001,1,998,,800,0,+,0
5105,RET--BPB--02,5002,4,998,,800,1,+,0
5106,INV--BPB--02,5002,1,998,,800,0,+,0
5107,NTR--BPB--02,5002,4,998,,800,0,+,0
5108,NTI--BPB--02,5002,1,998,,800,0,+,0
