$version=1
!Code,Name,SystemCode,DemandCode,BusCode,ReactivePowerInputType
1,S.BONF-BA138,3,3,103,0
2,P.FRAN-MA138,4,4,115,0
3,B.NOME-PE138,3,3,120,0
3428,BNOME2-PE138,3,3,122,0
4,PIRIPI-PI138,3,3,127,0
5,MIRAND-MA138,4,4,131,0
6,BAHIA1UTE013,3,3,140,0
7,AÇU2---RN138,3,3,151,0
8,T.FREI-BA138,3,3,162,0
9,EUNAPO-BA138,3,3,169,0
10,B.PULPUTE013,3,3,180,0
11,IRECE--BA138,3,3,183,0
12,IBICOA-BA138,3,3,188,0
13,ST.MAR-PA138,4,4,192,0
14,SCHIN--MA230,4,4,204,0
15,JAGUAR-BA230,3,3,207,0
16,EMBASA-BA230,3,3,214,0
17,MIRUEI-PE230,3,3,250,0
18,VERACE-BA230,3,3,267,0
19,CSP----CE230,3,3,316,0
20,RALMEIUTE013,3,3,357,0
21,SCHINC-BA230,3,3,372,0
22,EMBAAB-BA230,3,3,374,0
23,RUROP--PA138,4,4,560,0
24,TRANSA-PA034,4,4,561,0
25,ABAIXA-BA069,3,3,600,0
26,MOXOTO-BA069,3,3,601,0
27,JUAZE2-BA069,3,3,602,0
28,S.BONF-BA069,3,3,603,0
29,BALSAS-MA069,4,4,607,0
30,ZEBU---SE069,3,3,608,0
31,ZEBU---PE069,3,3,609,0
32,ZEBU---BA069,3,3,613,0
33,P.FRAN-MA069,4,4,615,0
34,TAUA2--CE069,3,3,616,0
35,ICO----CE069,3,3,617,0
36,CAUIPE-CE069,3,3,618,0
37,D.GOUV-CE069,3,3,619,0
38,B.NOME-PE069,3,3,620,0
39,MILAGR-CE069,3,3,621,0
40,BANABU-CE069,3,3,622,0
41,RUSSAS-CE069,3,3,623,0
42,MOSSOR-RN069,3,3,624,0
43,FORTAL-CE069,3,3,625,0
44,SOBRAL-CE069,3,3,626,0
45,PIRIPI-PI069,3,3,627,0
46,TERES--PI069,3,3,628,0
47,PERITO-MA069,4,4,630,0
48,MIRAND-MA069,4,4,631,0
49,SLU1S1-MA069,4,4,632,0
50,COREM2-PB069,3,3,633,0
51,PICI2--CE069,3,3,634,0
52,C.NETO-MA069,4,4,636,0
53,S.J.PI-PI069,3,3,637,0
54,P.DUTR-MA069,4,4,638,0
55,IMPERA-MA069,4,4,639,0
56,ANGELI-PE069,3,3,640,0
57,ANGELI-AL069,3,3,641,0
58,RIO-LA-AL069,3,3,642,0
59,BONGIA-PE069,3,3,643,0
60,CGRD2--PB069,3,3,644,0
61,S.CRUZ-RN069,3,3,645,0
62,NATAL2-RN069,3,3,646,0
63,GOIANI-PE069,3,3,647,0
64,MUSSU2-PB069,3,3,648,0
65,PIRAPA-PE069,3,3,649,0
66,MIRUEI-PE069,3,3,650,0
67,ACU----RN069,3,3,651,0
68,S.MATO-RN069,3,3,652,0
69,C.NOVO-RN069,3,3,653,0
70,JOAIRA-PE069,3,3,654,0
71,TACAIM-PE069,3,3,655,0
72,LCARRO-PE069,3,3,656,0
73,RGONCA-PI069,3,3,657,0
74,PENEDO-AL069,3,3,658,0
75,MACEIO-AL069,3,3,659,0
76,PAU-FE-PE069,3,3,660,0
77,MIRUE2-PE069,3,3,661,0
78,PENEDO-SE069,3,3,662,0
79,S.A.JE-BA069,3,3,664,0
80,ITBANI-SE069,3,3,665,0
81,TOMBA--BA069,3,3,666,0
82,NARAND-BA069,3,3,668,0
83,B.ESPE-MA069,4,4,669,0
84,C.DANT-BA069,3,3,670,0
85,ITABAI-SE069,3,3,671,0
86,CATU---BA069,3,3,672,0
87,JARDIM-SE069,3,3,673,0
88,CAMAC2-BA069,3,3,674,0
89,G.MANG-BA069,3,3,675,0
90,BRUMAD-BA069,3,3,676,0
91,MATATU-BA069,3,3,677,0
92,PITUAC-BA069,3,3,678,0
93,COTEGI-BA069,3,3,679,0
94,JACARA-BA069,3,3,680,0
95,POLO---BA069,3,3,681,0
96,IRECE--BA069,3,3,683,0
97,GOIANI-PB069,3,3,684,0
98,BJLAPA-BA069,3,3,685,0
99,BARREI-BA069,3,3,686,0
100,E.MART-PI069,3,3,687,0
101,PIRAJA-BA069,3,3,688,0
102,ICO----RN069,3,3,689,0
103,GUAMA--PA069,4,4,690,0
104,UTINGA-PA069,4,4,691,0
105,STMARI-PA069,4,4,692,0
106,MIRAMA-PA069,4,4,693,0
107,S.CRUZ-PB069,3,3,694,0
108,PICOS--PI069,3,3,695,0
109,TUCURU-PA138,4,4,696,0
110,TUCURU-PA069,4,4,697,0
111,V.COND-PA069,4,4,698,0
112,MARABA-PA069,4,4,699,0
113,ZEBUII-AL069,3,3,708,0
114,RLAM---BA069,3,3,709,0
115,SRITA2-PB069,3,3,745,0
116,NATAL3-RN069,3,3,746,0
117,RIBEIR-PE069,3,3,752,0
118,MORCHP-BA069,3,3,755,0
119,IBIAPI-CE069,3,3,765,0
120,IGAPOR-BA069,3,3,794,0
121,CASTAN-PA138,4,4,800,0
122,SUZANO-MA034,3,3,806,0
123,SLUIS3-MA069,4,4,814,0
124,D.MAC2-CE069,3,3,819,0
125,PACATB-CE069,3,3,820,0
126,MLG-TI-CE013,3,3,821,0
127,MIRNDT-MA013,4,4,831,0
128,ALTAMI-PA069,4,4,862,0
129,FUNIL--BA013,3,3,876,0
130,MATA-ASIN011,3,3,877,0
131,POCOE2-BA138,3,3,909,0
132,SNORTE-PA230,4,4,917,0
133,PERITO-MA013,4,4,930,0
134,CARAJA-PA138,4,4,948,0
135,CATU-B-BA013,3,3,972,0
136,FUNIL--BA138,3,3,976,0
137,MATA-BSIN011,3,3,977,0
138,VILANH-SP230,1,1,1021,0
139,AERGUL-SP138,1,1,1022,0
140,PETROM-SP138,1,1,1023,0
141,SIF22--SP138,1,1,1024,0
142,CEBRAS-SP088,1,1,1025,0
143,GLEBAD-SP138,1,1,1026,0
144,EMBREA-SP138,1,1,1027,0
145,SKOL-A-SP088,1,1,1028,0
146,RPAR2A-SP138,1,1,1029,0
147,P.NOVO-SP138,1,1,1030,0
148,JAMBEI-SP138,1,1,1032,0
149,DCTA---SP088,1,1,1033,0
150,SLUZIA-SP138,1,1,1034,0
151,MFOODS-SP088,1,1,1035,0
152,AVPAIV-SP088,1,1,1036,0
153,OLARIA-SP138,1,1,1039,0
154,JUQUEH-SP138,1,1,1040,0
155,MARESI-SP138,1,1,1053,0
156,UNA----SP138,1,1,1055,0
157,MAP----SP138,1,1,1056,0
158,BIR----SP138,1,1,1057,0
159,BOI----SP138,1,1,1058,0
160,CAR-BE-SP138,1,1,1059,0
161,SKOL-B-SP088,1,1,1060,0
162,SSB-BE-SP138,1,1,1061,0
163,MAS----SP138,1,1,1062,0
164,ITAPTA-SP088,1,1,1063,0
165,NOR-BE-SP088,1,1,1064,0
166,NOD-BE-SP088,1,1,1065,0
167,MOGI---SP088,1,1,1066,0
168,SJC----SP088,1,1,1067,0
169,TAU-BE-SP138,1,1,1068,0
170,APA----SP088,1,1,1069,0
171,S.CA-B-SP088,1,1,1070,0
172,CATALA-GO138,1,1,1151,0
173,CDOURA-GO138,1,1,1152,0
174,PQEMAS-GO138,1,1,1154,0
175,QUIRIN-GO138,1,1,1156,0
176,RVERDE-GO138,1,1,1157,0
177,R.BOIS-GO138,1,1,1159,0
178,CALTA1-GO138,1,1,1160,0
179,ACREUN-GO138,1,1,1163,0
180,S.CALD-GO138,1,1,1164,0
181,AEROP1-GO138,1,1,1170,0
182,CAMPIN-GO138,1,1,1173,0
183,FERROV-GO138,1,1,1175,0
184,REAL-1-GO138,1,1,1176,0
185,ATLANT-GO138,1,1,1177,0
186,GLESTE-GO013,1,1,1178,0
187,MEIAPO-GO138,1,1,1181,0
188,XAVANT-GO138,1,1,1182,0
189,GOYA---GO138,1,1,1184,0
190,ANHANG-GO069,1,1,1185,0
191,SGENOV-GO138,1,1,1186,0
192,B.VIST-GO138,1,1,1188,0
193,PIRESR-GO138,1,1,1189,0
194,RIVIER-GO138,1,1,1191,0
195,CARAJA-GO138,1,1,1192,0
196,INDEPE-GO138,1,1,1195,0
197,TRINDA-GO138,1,1,1197,0
198,S.CANE-GO138,1,1,1199,0
199,DIMIC--GO138,1,1,1200,0
200,ITIQUI-GO138,1,1,1203,0
201,MARAJO-GO138,1,1,1204,0
202,PBERND-GO069,1,1,1205,0
203,PLANA--GO138,1,1,1208,0
204,ANAPOL-GO138,1,1,1209,0
205,CORUMB-GO138,1,1,1210,0
206,DAIA---GO138,1,1,1211,0
207,JUNDIA-GO138,1,1,1212,0
208,SAMA---GO138,1,1,1222,0
209,ITAPAC-GO069,1,1,1223,0
210,PACAEM-GO138,1,1,1225,0
211,PAMPLO-GO138,1,1,1226,0
212,SJALIA-GO138,1,1,1227,0
213,FLORES-GO138,1,1,1228,0
214,IACIAR-GO138,1,1,1229,0
215,R.VERM-GO138,1,1,1230,0
216,SANTAN-GO138,1,1,1231,0
217,ESTREL-GO138,1,1,1234,0
218,PARANA-GO069,1,1,1240,0
219,A.LIND-GO069,1,1,1242,0
220,PALMEI-GO069,1,1,1244,0
221,NIQULA-GO034,1,1,1248,0
222,SERRAO-GO138,1,1,1253,0
223,SMARCO-GO138,1,1,1254,0
224,MINEIR-GO138,1,1,1262,0
225,CRISTA-GO138,1,1,1267,0
226,IPE----GO138,1,1,1274,0
227,COXIPO-MT138,1,1,1291,0
228,B-DURO-MT138,1,1,1293,0
229,VGRAND-MT138,1,1,1295,0
