**** Planta:   10 PARANA       Penal:      3.79751  2
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      20      20      20      20      20      20      20      20      20      20      20      20
2026      20      20      20      20      20      20      20      20      20      20      20      20
2027      20      20      20      20      20      20      20      20      20      20      20      20
2028      20      20      20      20      20      20      20      20      20      20      20      20
2029      20      20      20      20      20      20      20      20      20      20      20      20
2030      20      20      20      20      20      20      20      20      20      20      20      20
2031      20      20      20      20      20      20      20      20      20      20      20      20
2032      20      20      20      20      20      20      20      20      20      20      20      20
2033      20      20      20      20      20      20      20      20      20      20      20      20
2034      20      20      20      20      20      20      20      20      20      20      20      20
2035      20      20      20      20      20      20      20      20      20      20      20      20
2036      20      20      20      20      20      20      20      20      20      20      20      20
2037      20      20      20      20      20      20      20      20      20      20      20      20
2038      20      20      20      20      20      20      20      20      20      20      20      20
2039      20      20      20      20      20      20      20      20      20      20      20      20
**** Planta:   12 PARANANEMA   Penal:      3.79751  2
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      20      20      20      20      20      20      20      20      20      20      20      20
2026      20      20      20      20      20      20      20      20      20      20      20      20
2027      20      20      20      20      20      20      20      20      20      20      20      20
2028      20      20      20      20      20      20      20      20      20      20      20      20
2029      20      20      20      20      20      20      20      20      20      20      20      20
2030      20      20      20      20      20      20      20      20      20      20      20      20
2031      20      20      20      20      20      20      20      20      20      20      20      20
2032      20      20      20      20      20      20      20      20      20      20      20      20
2033      20      20      20      20      20      20      20      20      20      20      20      20
2034      20      20      20      20      20      20      20      20      20      20      20      20
2035      20      20      20      20      20      20      20      20      20      20      20      20
2036      20      20      20      20      20      20      20      20      20      20      20      20
2037      20      20      20      20      20      20      20      20      20      20      20      20
2038      20      20      20      20      20      20      20      20      20      20      20      20
2039      20      20      20      20      20      20      20      20      20      20      20      20
**** Planta:    1 SUDESTE      Penal:      3.79751  2
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      20      20      20      20      20      20      20      20      20      20      20      20
2026      20      20      20      20      20      20      20      20      20      20      20      20
2027      20      20      20      20      20      20      20      20      20      20      20      20
2028      20      20      20      20      20      20      20      20      20      20      20      20
2029      20      20      20      20      20      20      20      20      20      20      20      20
2030      20      20      20      20      20      20      20      20      20      20      20      20
