$version=1
!Code,Latitude,Longitude
1,-9.4,-38.2
4,-9.4,-38.2
5,-9.4,-38.2
6,-9.4,-38.2
7,-9.4,-38.2
8,-9.4,-38.2
9,-9.4,-38.2
10,-9.4,-38.2
11,-9.4,-38.2
14,-9.42,-38.21
21,-9.43,-40.83
22,-9.43,-40.83
28,-9.36,-38.21
29,-9.36,-38.21
33,-9.14,-38.31
34,-9.14,-38.31
44,-6.75,-43.56
46,-6.75,-43.56
48,-12.58,-39
50,-3.83,-49.64
52,-3.83,-49.64
54,-3.83,-49.64
63,-14.23,-39.46
70,-3.83,-49.64
71,-3.83,-49.64
80,-6.59,-47.47
89,-9.62,-37.79
95,-15.97,-39.59
96,-8.35,-35.02
97,-8.35,-35.02
98,-8.35,-35.02
99,-8.35,-35.02
100,-8.35,-35.02
101,-8.35,-35.02
102,-3.87,-38.62
103,-10.44,-40.19
104,-7.86,-35.01
110,-12.5,-38.21
111,-12.5,-38.21
112,-12.5,-38.21
115,-6.35,-47.38
120,-8,-38.63
127,-4.29,-41.75
128,-12.73,-38.48
129,-12.73,-38.48
130,-7.21,-34.92
131,-3.57,-44.54
137,-7.16,-34.86
138,-7.21,-34.92
139,-8.27,-35.02
140,-12.67,-38.32
141,-8.36,-35.03
151,-5.59,-36.91
160,-8.4,-34.96
161,-8.4,-34.96
162,-17.57,-39.73
167,-9.76,-48.37
169,-16.34,-39.55
170,-12.7,-38.57
172,-16.37,-39.57
180,-12.64,-38.34
183,-11.31,-41.81
186,-12.13,-44.95
188,-13.44,-41.37
190,-3.44,-51.9
192,-1.34,-47.57
193,-3.13,-51.78
194,-3.13,-51.78
195,-3.13,-51.78
196,-7.23,-35.89
200,-9.4,-38.2
202,-9.48,-40.48
203,-10.44,-40.19
204,-4.87,-43.41
205,-12.31,-42.34
206,-9.44,-40.83
207,-9.87,-39.86
208,-9.36,-38.2
209,-14.52,-40.38
210,-7.63,-45.21
212,-8.75,-38.34
213,-14.23,-39.72
215,-7.56,-46.02
216,-6,-40.28
217,-6.41,-38.88
218,-3.69,-38.87
219,-3.79,-38.52
220,-8,-38.63
221,-7.31,-38.94
222,-5.3,-38.91
223,-4.95,-38
224,-5.15,-37.35
225,-3.83,-38.54
226,-3.7,-40.38
227,-4.29,-41.75
228,-5.13,-42.8
229,-6.72,-43.56
230,-4.37,-44.33
231,-3.57,-44.54
232,-2.56,-44.26
233,-7.02,-37.96
234,-3.74,-38.58
235,-1.3,-47.79
236,-4.3,-42.99
237,-8.36,-42.23
238,-5.27,-44.48
239,-5.49,-47.44
240,-8.89,-36.29
241,-8.12,-35.04
242,-9.5,-35.84
243,-8.06,-34.93
245,-7.16,-35.01
246,-5.81,-35.24
247,-7.59,-35.09
248,-7.18,-34.89
249,-8.27,-35.03
250,-7.96,-34.89
251,-5.59,-36.91
252,-8.47,-35.4
253,-8.4,-35.02
254,-8.08,-34.98
255,-8.33,-36.22
256,-7.86,-35.34
257,-8.03,-38.65
258,-10.24,-36.56
259,-9.58,-35.79
260,-7.86,-35.02
261,-7.96,-34.89
262,-17.57,-39.73
263,-15.97,-39.58
264,-12.97,-39.22
265,-11.29,-37.72
266,-12.29,-38.97
267,-16.09,-39.41
268,-12.95,-38.44
269,-16.34,-39.55
270,-10.6,-38.37
271,-10.66,-37.46
272,-12.4,-38.36
273,-10.88,-37.15
274,-12.62,-38.34
275,-12.61,-39.03
276,-14.23,-39.46
277,-12.98,-38.48
278,-12.94,-38.42
279,-12.79,-38.42
280,-12.7,-38.48
283,-11.31,-41.81
284,-12.62,-38.34
285,-13.31,-43.35
286,-12.13,-44.95
287,-8.1,-43.67
288,-13.44,-41.37
289,-12.72,-39.19
290,-6.24,-36
291,-1.34,-48.38
292,-1.34,-47.57
293,-1.41,-48.49
295,-7.11,-41.41
296,-9.34,-38.15
297,-3.82,-49.65
298,-1.57,-48.73
299,-5.2,-49.02
300,-9.41,-38.2
315,-6.35,-47.38
325,-3.83,-38.54
326,-3.69,-40.3
328,-5.26,-42.73
332,-2.72,-44.32
333,-5.38,-36.82
334,-3.68,-38.86
335,-12.7,-38.57
336,-8.4,-34.97
338,-3.69,-38.87
339,-3.69,-38.87
342,-9.4,-35.84
345,-14.86,-39.27
346,-5.87,-35.32
349,-8.88,-36.4
353,-8.39,-35.05
355,-11.71,-41.4
360,-5.3,-35.87
361,-3.71,-53.72
362,-3.14,-52.18
363,-4.07,-54.9
364,-6.06,-36.53
365,-3.9,-41.19
366,-8.98,-54.96
367,-7.09,-55.39
370,-7.09,-55.39
374,-12.54,-38.99
375,-12.59,-39
376,-14.21,-41.64
381,-12.66,-38.27
385,-13.31,-43.34
388,-12.91,-38.46
390,-1.46,-48.45
393,-9.75,-48.37
394,-14.03,-42.62
414,-9.4,-40.5
422,-7.86,-35.02
433,-5.38,-36.82
445,-6.24,-36
472,-11.32,-38.38
500,-9.41,-38.2
504,-9.63,-37.8
505,-9.14,-38.31
506,-9.44,-40.83
511,-3.58,-38.87
516,-4.95,-38.93
521,-7.31,-38.94
523,-5.38,-35.89
525,-3.83,-38.54
526,-3.69,-40.3
528,-5.26,-42.73
529,-6.72,-43.56
532,-2.72,-44.32
536,-7.63,-45.21
537,-8.36,-42.23
538,-5.27,-44.48
539,-5.49,-47.44
540,-8.9,-36.3
541,-8.12,-35.04
542,-9.4,-35.84
543,-8.39,-35.05
544,-7.25,-35.98
546,-5.37,-44.36
549,-8.88,-36.4
555,-11.71,-41.4
559,-4.92,-47.4
