$version=2
!Code,Name,TechType,Datasource
334,PCH_39,4,1
335,PCH_38,4,1
336,PCH_37,4,1
337,PCH_34,4,1
338,PCH_35,4,1
340,PCH_36,4,1
360,PCH_41,4,1
361,PCH_47,4,1
362,PCH_49,4,1
363,PCH_48,4,1
364,PCH_52,4,1
365,PCH_43,4,1
366,PCH_44,4,1
367,PCH_50,4,1
368,PCH_42,4,1
369,PCH_40,4,1
371,PCH_46,4,1
372,PCH_51,4,1
373,PCH_45,4,1
374,PCH_75,4,1
375,PCH_53,4,1
390,PCH_72,4,1
391,PCH_73,4,1
392,PCH_77,4,1
393,PCH_78,4,1
394,PCH_62,4,1
395,PCH_63,4,1
399,PCH_59,4,1
400,PCH_60,4,1
401,PCH_61,4,1
405,PCH_70,4,1
406,PCH_71,4,1
407,PCH_74,4,1
408,PCH_76,4,1
423,EOL_SU,1,1
427,PCH_SU,4,1
463,PCT_41,3,1
464,PCT_42,3,1
465,PCT_43,3,1
466,PCT_44,3,1
467,PCT_45,3,1
468,PCT_46,3,1
469,PCT_47,3,1
470,PCT_48,3,1
493,PCT_SU,3,1
498,UFV_SU,2,1
298,EOL17,1,0
294,EOL13,1,0
295,EOL14,1,0
296,EOL15,1,0
297,EOL16,1,0
302,EOL21,1,0
299,EOL18,1,0
301,EOL20,1,0
319,UFV9_SU,2,0
553,PCT_60_SU,3,1
555,PCT_62_SU,3,1
576,GD_COPEL,2,0
582,GD_RGE,2,0
583,GD_CEEE,2,0
584,GD_CELESC,2,0
609,OGD_COPEL,0,1
614,OGD_RGE,0,1
615,OGD_CEEE,0,1
616,OGD_CELESC,0,1
