$version=1
!Code,Name,Plant,Bus,Existing,NumberOfUnits,MinTurb,MaxTurb,MinGen,MaxGen,ControlledBusCode,ReactivePowerControlType,MinReactivePower,MaxReactivePower,ReactivePowerFactor,DevOpt,GenDev,MaxDev,GR,GX,TR,TX,Tap
44,ITAPARICA_12,172,33,0,3,0,1662,0,739.8,,0,,,,0,,,,,,,
45,ITAPARICA_11,172,34,0,3,0,1662,0,739.8,,0,,,,0,,,,,,,
18,UHE_PAULO_AF,176,1,0,3,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
19,UHE_PAULO_A1,176,4,0,1,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
20,UHE_PAULO_A2,176,5,0,1,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
21,UHE_PAULO_A3,176,6,0,1,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
22,UHE_PAULO_A4,176,7,0,1,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
23,UHE_PAULO_A5,176,8,0,1,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
24,UHE_PAULO_A6,176,9,0,1,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
25,UHE_PAULO_A7,176,10,0,2,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
26,UHE_PAULO_A8,176,11,0,2,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
27,UHE_PAULO_A9,176,14,0,6,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
28,UHE_APOLONIO,176,28,0,2,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
29,UHE_APOLONI1,176,29,0,2,0,349.9166666666667,0,356.6333333333334,,0,,,,0,,,,,,,
3,B._ESPERA139,190,44,0,2,0,319,0,118.65,,0,,,,0,,,,,,,
4,B._ESPERA140,190,46,0,2,0,319,0,118.65,,0,,,,0,,,,,,,
