$version=1
!Code,Name,Plant,Bus,Existing,NumberOfUnits,MinTurb,MaxTurb,MinGen,MaxGen,ControlledBusCode,ReactivePowerControlType,MinReactivePower,MaxReactivePower,ReactivePowerFactor,DevOpt,GenDev,MaxDev,GR,GX,TR,TX,Tap
50,MASC._MOR101,7,3589,0,5,0,622,0,238,,0,,,,0,,,,,,,
51,MASC._MOR102,7,3590,0,5,0,622,0,238,,0,,,,0,,,,,,,
9,CACH_DOUR103,32,1081,0,2,0,502.6,0,131.6,,0,,,,0,,,,,,,
10,CACH_DOUR104,32,1082,0,2,0,502.6,0,131.6,,0,,,,0,,,,,,,
11,CACH_DOUR105,32,1083,0,2,0,502.6,0,131.6,,0,,,,0,,,,,,,
12,CACH_DOUR106,32,1084,0,2,0,502.6,0,131.6,,0,,,,0,,,,,,,
13,CACH_DOUR107,32,1085,0,2,0,502.6,0,131.6,,0,,,,0,,,,,,,
1,A.SOUZAL108,38,1009,0,2,0,384,0,71.55,,0,,,,0,,,,,,,
2,A.SOUZAL109,38,21502,0,2,0,384,0,71.55,,0,,,,0,,,,,,,
48,JUPIA_110,45,2042,0,7,0,4137,0,775.6,,0,,,,0,,,,,,,
49,JUPIA_111,45,2043,0,7,0,4137,0,775.6,,0,,,,0,,,,,,,
