$version=1
!Code,Name,Plant,Bus,Existing,NumberOfUnits,MinTurb,MaxTurb,MinGen,MaxGen,ControlledBusCode,ReactivePowerControlType,MinReactivePower,MaxReactivePower,ReactivePowerFactor,DevOpt,GenDev,MaxDev,GR,GX,TR,TX,Tap
36,HENRY_BOR_11,119,3382,0,2,0,25.333333333333332,0,148.16666666666666,,0,,,,0,,,,,,,
37,HENRY_BOR_12,119,3383,0,2,0,25.333333333333332,0,148.16666666666666,,0,,,,0,,,,,,,
38,HENRY_BOR_13,119,3385,0,2,0,25.333333333333332,0,148.16666666666666,,0,,,,0,,,,,,,
39,HENRY_BOR_14,119,3388,0,2,0,25.333333333333332,0,148.16666666666666,,0,,,,0,,,,,,,
40,HENRY_BOR_15,119,3389,0,2,0,25.333333333333332,0,148.16666666666666,,0,,,,0,,,,,,,
41,HENRY_BOR_16,119,34700,0,2,0,25.333333333333332,0,148.16666666666666,,0,,,,0,,,,,,,
52,NILO_PECA_11,131,4057,0,3,0,72,0,190.015,,0,,,,0,,,,,,,
53,NILO_PECA_12,131,38450,0,3,0,72,0,190.015,,0,,,,0,,,,,,,
34,DARDANELO_12,310,4360,0,2,0,153,0,130.5,,0,,,,0,,,,,,,
35,DARDANELO_11,310,4364,0,2,0,153,0,130.5,,0,,,,0,,,,,,,
