**** Planta:  154 ITAPEBI      Penal:    252.38577
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      40      40      40      40      40      40      40      40      40      40      40      40
2026      40      40      40      40      40      40      40      40      40      40      40      40
2027      40      40      40      40      40      40      40      40      40      40      40      40
2028      40      40      40      40      40      40      40      40      40      40      40      40
2029      40      40      40      40      40      40      40      40      40      40      40      40
2030      40      40      40      40      40      40      40      40      40      40      40      40
2031      40      40      40      40      40      40      40      40      40      40      40      40
2032      40      40      40      40      40      40      40      40      40      40      40      40
2033      40      40      40      40      40      40      40      40      40      40      40      40
2034      40      40      40      40      40      40      40      40      40      40      40      40
2035      40      40      40      40      40      40      40      40      40      40      40      40
2036      40      40      40      40      40      40      40      40      40      40      40      40
2037      40      40      40      40      40      40      40      40      40      40      40      40
2038      40      40      40      40      40      40      40      40      40      40      40      40
2039      40      40      40      40      40      40      40      40      40      40      40      40
**** Planta:  169 SOBRADINHO   Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     800     800     800     800     800     800     800     800     800     800     800     800
2026     800     800     800     800     800     800     800     800     800     800     800     800
2027     800     800     800     800     800     800     800     800     800     800     800     800
2028     800     800     800     800     800     800     800     800     800     800     800     800
2029     800     800     800     800     800     800     800     800     800     800     800     800
2030     800     800     800     800     800     800     800     800     800     800     800     800
2031     800     800     800     800     800     800     800     800     800     800     800     800
2032     800     800     800     800     800     800     800     800     800     800     800     800
2033     800     800     800     800     800     800     800     800     800     800     800     800
2034     800     800     800     800     800     800     800     800     800     800     800     800
2035     800     800     800     800     800     800     800     800     800     800     800     800
2036     800     800     800     800     800     800     800     800     800     800     800     800
2037     800     800     800     800     800     800     800     800     800     800     800     800
2038     800     800     800     800     800     800     800     800     800     800     800     800
2039     800     800     800     800     800     800     800     800     800     800     800     800
**** Planta:  172 ITAPARICA    Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     800     800     800     800     800     800     800     800     800     800     800     800
2026     800     800     800     800     800     800     800     800     800     800     800     800
2027     800     800     800     800     800     800     800     800     800     800     800     800
2028     800     800     800     800     800     800     800     800     800     800     800     800
2029     800     800     800     800     800     800     800     800     800     800     800     800
2030     800     800     800     800     800     800     800     800     800     800     800     800
2031     800     800     800     800     800     800     800     800     800     800     800     800
2032     800     800     800     800     800     800     800     800     800     800     800     800
2033     800     800     800     800     800     800     800     800     800     800     800     800
2034     800     800     800     800     800     800     800     800     800     800     800     800
2035     800     800     800     800     800     800     800     800     800     800     800     800
2036     800     800     800     800     800     800     800     800     800     800     800     800
2037     800     800     800     800     800     800     800     800     800     800     800     800
2038     800     800     800     800     800     800     800     800     800     800     800     800
2039     800     800     800     800     800     800     800     800     800     800     800     800
**** Planta:  176 COMP PAF-MOX Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     800     800     800     800     800     800     800     800     800     800     800     800
2026     800     800     800     800     800     800     800     800     800     800     800     800
2027     800     800     800     800     800     800     800     800     800     800     800     800
2028     800     800     800     800     800     800     800     800     800     800     800     800
2029     800     800     800     800     800     800     800     800     800     800     800     800
2030     800     800     800     800     800     800     800     800     800     800     800     800
2031     800     800     800     800     800     800     800     800     800     800     800     800
2032     800     800     800     800     800     800     800     800     800     800     800     800
2033     800     800     800     800     800     800     800     800     800     800     800     800
2034     800     800     800     800     800     800     800     800     800     800     800     800
2035     800     800     800     800     800     800     800     800     800     800     800     800
2036     800     800     800     800     800     800     800     800     800     800     800     800
2037     800     800     800     800     800     800     800     800     800     800     800     800
2038     800     800     800     800     800     800     800     800     800     800     800     800
2039     800     800     800     800     800     800     800     800     800     800     800     800
**** Planta:  178 XINGO        Penal:    325.50257
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     800     800     800     800     800     800     800     800     800     800     800     800
2026     800     800     800     800     800     800     800     800     800     800     800     800
2027     800     800     800     800     800     800     800     800     800     800     800     800
2028     800     800     800     800     800     800     800     800     800     800     800     800
2029     800     800     800     800     800     800     800     800     800     800     800     800
2030     800     800     800     800     800     800     800     800     800     800     800     800
2031     800     800     800     800     800     800     800     800     800     800     800     800
2032     800     800     800     800     800     800     800     800     800     800     800     800
2033     800     800     800     800     800     800     800     800     800     800     800     800
2034     800     800     800     800     800     800     800     800     800     800     800     800
2035     800     800     800     800     800     800     800     800     800     800     800     800
2036     800     800     800     800     800     800     800     800     800     800     800     800
2037     800     800     800     800     800     800     800     800     800     800     800     800
2038     800     800     800     800     800     800     800     800     800     800     800     800
2039     800     800     800     800     800     800     800     800     800     800     800     800
**** Planta:  189 P. CAVALO    Penal:    2405.1633
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       6       6       6       6       6       6       6       6       6       6       6       6
2026       6       6       6       6       6       6       6       6       6       6       6       6
2027       6       6       6       6       6       6       6       6       6       6       6       6
2028       6       6       6       6       6       6       6       6       6       6       6       6
2029       6       6       6       6       6       6       6       6       6       6       6       6
2030       6       6       6       6       6       6       6       6       6       6       6       6
2031       6       6       6       6       6       6       6       6       6       6       6       6
2032       6       6       6       6       6       6       6       6       6       6       6       6
2033       6       6       6       6       6       6       6       6       6       6       6       6
2034       6       6       6       6       6       6       6       6       6       6       6       6
2035       6       6       6       6       6       6       6       6       6       6       6       6
2036       6       6       6       6       6       6       6       6       6       6       6       6
2037       6       6       6       6       6       6       6       6       6       6       6       6
2038       6       6       6       6       6       6       6       6       6       6       6       6
2039       6       6       6       6       6       6       6       6       6       6       6       6
2040       6       6       6       6       6       6       6       6       6       6       6       6
**** Planta:  190 B. ESPERANCA Penal:    365.35545
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     240     240     240     240     240     240     240     240     240     240     240     240
2026     240     240     240     240     240     240     240     240     240     240     240     240
2027     240     240     240     240     240     240     240     240     240     240     240     240
2028     240     240     240     240     240     240     240     240     240     240     240     240
2029     240     240     240     240     240     240     240     240     240     240     240     240
2030     240     240     240     240     240     240     240     240     240     240     240     240
2031     240     240     240     240     240     240     240     240     240     240     240     240
2032     240     240     240     240     240     240     240     240     240     240     240     240
2033     240     240     240     240     240     240     240     240     240     240     240     240
2034     240     240     240     240     240     240     240     240     240     240     240     240
2035     240     240     240     240     240     240     240     240     240     240     240     240
2036     240     240     240     240     240     240     240     240     240     240     240     240
2037     240     240     240     240     240     240     240     240     240     240     240     240
2038     240     240     240     240     240     240     240     240     240     240     240     240
2039     240     240     240     240     240     240     240     240     240     240     240     240
