**** Planta:   57 MAUA         Penal:    599.53776
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      88      61      60      60      60      60      60      61      62      60      60      60
2026      88      61      60      60      60      60      60      61      62      60      60      60
2027      88      61      60      60      60      60      60      61      62      60      60      60
2028      88      61      60      60      60      60      60      61      62      60      60      60
2029      88      61      60      60      60      60      60      61      62      60      60      60
2030      88      61      60      60      60      60      60      61      62      60      60      60
2031      88      61      60      60      60      60      60      61      62      60      60      60
2032      88      61      60      60      60      60      60      61      62      60      60      60
2033      88      61      60      60      60      60      60      61      62      60      60      60
2034      88      61      60      60      60      60      60      61      62      60      60      60
2035      88      61      60      60      60      60      60      61      62      60      60      60
2036      88      61      60      60      60      60      60      61      62      60      60      60
2037      88      61      60      60      60      60      60      61      62      60      60      60
2038      88      61      60      60      60      60      60      61      62      60      60      60
2039      88      61      60      60      60      60      60      61      62      60      60      60
**** Planta:   71 STA CLARA PR Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       2       0       0       0       0       0       0       0       0       0       3       0
2026       2       0       0       0       0       0       0       0       0       0       3       0
2027       2       0       0       0       0       0       0       0       0       0       3       0
2028       2       0       0       0       0       0       0       0       0       0       3       0
2029       2       0       0       0       0       0       0       0       0       0       3       0
2030       2       0       0       0       0       0       0       0       0       0       3       0
2031       2       0       0       0       0       0       0       0       0       0       3       0
2032       2       0       0       0       0       0       0       0       0       0       3       0
2033       2       0       0       0       0       0       0       0       0       0       3       0
2034       2       0       0       0       0       0       0       0       0       0       3       0
2035       2       0       0       0       0       0       0       0       0       0       3       0
2036       2       0       0       0       0       0       0       0       0       0       3       0
2037       2       0       0       0       0       0       0       0       0       0       3       0
2038       2       0       0       0       0       0       0       0       0       0       3       0
2039       2       0       0       0       0       0       0       0       0       0       3       0
**** Planta:   72 FUNDAO       Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       1       0       0       0       0       0       0       0       0       0       3       4
2026       1       0       0       0       0       0       0       0       0       0       3       4
2027       1       0       0       0       0       0       0       0       0       0       3       4
2028       1       0       0       0       0       0       0       0       0       0       3       4
2029       1       0       0       0       0       0       0       0       0       0       3       4
2030       1       0       0       0       0       0       0       0       0       0       3       4
2031       1       0       0       0       0       0       0       0       0       0       3       4
2032       1       0       0       0       0       0       0       0       0       0       3       4
2033       1       0       0       0       0       0       0       0       0       0       3       4
2034       1       0       0       0       0       0       0       0       0       0       3       4
2035       1       0       0       0       0       0       0       0       0       0       3       4
2036       1       0       0       0       0       0       0       0       0       0       3       4
2037       1       0       0       0       0       0       0       0       0       0       3       4
2038       1       0       0       0       0       0       0       0       0       0       3       4
2039       1       0       0       0       0       0       0       0       0       0       3       4
**** Planta:   73 JORDAO       Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      10      10      10      10      10      10      11      10      10      10      10      10
2026      10      10      10      10      10      10      11      10      10      10      10      10
2027      10      10      10      10      10      10      11      10      10      10      10      10
2028      10      10      10      10      10      10      11      10      10      10      10      10
2029      10      10      10      10      10      10      11      10      10      10      10      10
2030      10      10      10      10      10      10      11      10      10      10      10      10
2031      10      10      10      10      10      10      11      10      10      10      10      10
2032      10      10      10      10      10      10      11      10      10      10      10      10
2033      10      10      10      10      10      10      11      10      10      10      10      10
2034      10      10      10      10      10      10      11      10      10      10      10      10
2035      10      10      10      10      10      10      11      10      10      10      10      10
2036      10      10      10      10      10      10      11      10      10      10      10      10
2037      10      10      10      10      10      10      11      10      10      10      10      10
2038      10      10      10      10      10      10      11      10      10      10      10      10
2039      10      10      10      10      10      10      11      10      10      10      10      10
**** Planta:   74 G. B. MUNHOZ Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       0       0       0       0       0       0       0       0       0       0       0       0
