$version=1
!Code,N,A0,A1,A2,A3,A4
1,4,13334.3,-32.86609,0.0200893,0,0
2,4,1.599999,0,0,0,0
4,4,37.70999,0,0,0,0
6,4,178827,-385.2769,0.0221355,0.000232793,0
7,4,666496,-2931,4.27885,-0.00207204,0
8,4,46.53,0,0,0,0
9,4,33.89999,0,0,0,0
10,4,52,0,0,0,0
11,4,201.6,0,0,0,0
12,4,143.9,0,0,0,0
14,4,152488,-391.6768,0.112147,0.000367985,-2.4243e-07
15,4,1.07,0,0,0,0
16,4,2.7,0,0,0,0
17,4,586295,-3956.72,8.86381,-0.00658636,0
18,4,55387,-314.5308,0.4479769,0,0
20,4,-4577.074,5.894009,-4.649e-09,-6.026e-13,0
21,4,-817618,3330.02,-4.526199,0.00205337,0
24,4,-18194.4,56.57759,0.0451828,-0.00029122,2.3907e-07
25,4,-323493,930.002,-0.385236,-0.00087984,6.75806e-07
26,4,63431.3,-95.59979,-0.06593627,2.46198e-05,1.14194e-07
27,4,-3584586,23536.8,-57.93509,0.06335775,-2.5973e-05
28,4,1069820,-7786.398,21.24959,-0.0257745,1.17256e-05
29,4,-243683.8,931.4506,-1.187915,0.0005055,0
30,4,-38885.4,212.986,-0.389868,0.000238534,0
31,4,-874789,5330.797,-10.8521,0.00738208,0
32,4,69,0,0,0,0
33,4,-184844,1541.24,-4.29993,0.0040152,0
34,4,943800,-8911.27,27.94069,-0.0290663,0
37,4,-544524,3206.67,-5.107699,-0.00097322,5.48212e-06
38,4,62.54999,0,0,0,0
39,4,114.82,0,0,0,0
40,4,-33929.7,163.813,-0.192901,0,0
42,4,212,0,0,0,0
43,4,-11948.6,23.04079,0.0994401,-5.4796e-05,-3.1244e-07
45,4,327,0,0,0,0
46,4,-48569,279.49,-0.32318,0,0
47,4,-4203060,22482.7,-40.10909,0.0238662,0
48,4,12.75,0,0,0,0
49,4,12734.1,-64.7446,0.08169508,0,0
50,4,11.59,0,0,0,0
51,4,23.51999,0,0,0,0
52,4,29.10999,0,0,0,0
53,4,-7045578,41832.53,-82.79256,0.05461957,0
61,4,11308.2,-54.3644,-0.0323012,0.000295981,0
62,4,74.57999,0,0,0,0
63,4,217.66,0,0,0,0
153,4,119990.6,-1030.568,2.9452,-0.0028,0
203,4,41799,-111.95,0.07499999,0,0
241,4,36.55,0,0,0,0
249,4,4.33,0,0,0,0
260,4,-2670932,21407.02,-64.29205,0.08574824,-4.2849e-05
262,4,60.24,0,0,0,0
290,4,-10840.8,64.99699,-0.09142405,-4.8338e-05,1.17977e-07
311,4,4308.78,-18.8598,0.0206744,0,0
312,4,1267730,-11318.85,37.9086,-0.05644974,3.15385e-05
315,4,7.69,0,0,0,0
