****   8.3288  97 ESTREITO TOC :>: H: 267                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1     869    1046     955     569     671     304     214     218     502     536     838     516
2025   2     441     668     804     611     553     304     208     207     326     418     450     430
2025   3     308     381     703     449     348     274     210     191     206     292     304     303
2025   4     222     307     484     334     258     279     219     180     179     200     218     219
2026   1     869    1046     955     569     671     304     214     218     502     536     838     516
2026   2     441     668     804     611     553     304     208     207     326     418     450     430
2026   3     308     381     703     449     348     274     210     191     206     292     304     303
2026   4     222     307     484     334     258     279     219     180     179     200     218     219
2027   1     869    1046     955     569     671     304     214     218     502     536     838     516
2027   2     441     668     804     611     553     304     208     207     326     418     450     430
2027   3     308     381     703     449     348     274     210     191     206     292     304     303
2027   4     222     307     484     334     258     279     219     180     179     200     218     219
2028   1     869    1046     955     569     671     304     214     218     502     536     838     516
2028   2     441     668     804     611     553     304     208     207     326     418     450     430
2028   3     308     381     703     449     348     274     210     191     206     292     304     303
2028   4     222     307     484     334     258     279     219     180     179     200     218     219
2029   1     869    1046     955     569     671     304     214     218     502     536     838     516
2029   2     441     668     804     611     553     304     208     207     326     418     450     430
2029   3     308     381     703     449     348     274     210     191     206     292     304     303
2029   4     222     307     484     334     258     279     219     180     179     200     218     219
2030   1     869    1046     955     569     671     304     214     218     502     536     838     516
2030   2     441     668     804     611     553     304     208     207     326     418     450     430
2030   3     308     381     703     449     348     274     210     191     206     292     304     303
2030   4     222     307     484     334     258     279     219     180     179     200     218     219
2031   1     869    1046     955     569     671     304     214     218     502     536     838     516
2031   2     441     668     804     611     553     304     208     207     326     418     450     430
2031   3     308     381     703     449     348     274     210     191     206     292     304     303
2031   4     222     307     484     334     258     279     219     180     179     200     218     219
2032   1     869    1046     955     569     671     304     214     218     502     536     838     516
2032   2     441     668     804     611     553     304     208     207     326     418     450     430
2032   3     308     381     703     449     348     274     210     191     206     292     304     303
2032   4     222     307     484     334     258     279     219     180     179     200     218     219
2033   1     869    1046     955     569     671     304     214     218     502     536     838     516
2033   2     441     668     804     611     553     304     208     207     326     418     450     430
2033   3     308     381     703     449     348     274     210     191     206     292     304     303
2033   4     222     307     484     334     258     279     219     180     179     200     218     219
2034   1     869    1046     955     569     671     304     214     218     502     536     838     516
2034   2     441     668     804     611     553     304     208     207     326     418     450     430
2034   3     308     381     703     449     348     274     210     191     206     292     304     303
2034   4     222     307     484     334     258     279     219     180     179     200     218     219
2035   1     869    1046     955     569     671     304     214     218     502     536     838     516
