****   8.3288  49 HENRY BORDEN :>: H: 119                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1     267     275      35      34      28      35      35      29     239     223      67     500
2025   2      40      35      43      34      39      33      31      30     128     236      40      38
2025   3      34      38      41      34      34      33      29      28      38     218      36      35
2025   4      44      35      34      33      33      33      32      28      32      35      35      35
2026   1     267     275      35      34      28      35      35      29     239     223      67     500
2026   2      40      35      43      34      39      33      31      30     128     236      40      38
2026   3      34      38      41      34      34      33      29      28      38     218      36      35
2026   4      44      35      34      33      33      33      32      28      32      35      35      35
2027   1     267     275      35      34      28      35      35      29     239     223      67     500
2027   2      40      35      43      34      39      33      31      30     128     236      40      38
2027   3      34      38      41      34      34      33      29      28      38     218      36      35
2027   4      44      35      34      33      33      33      32      28      32      35      35      35
2028   1     267     275      35      34      28      35      35      29     239     223      67     500
2028   2      40      35      43      34      39      33      31      30     128     236      40      38
2028   3      34      38      41      34      34      33      29      28      38     218      36      35
2028   4      44      35      34      33      33      33      32      28      32      35      35      35
2029   1     267     275      35      34      28      35      35      29     239     223      67     500
2029   2      40      35      43      34      39      33      31      30     128     236      40      38
2029   3      34      38      41      34      34      33      29      28      38     218      36      35
2029   4      44      35      34      33      33      33      32      28      32      35      35      35
2030   1     267     275      35      34      28      35      35      29     239     223      67     500
2030   2      40      35      43      34      39      33      31      30     128     236      40      38
2030   3      34      38      41      34      34      33      29      28      38     218      36      35
2030   4      44      35      34      33      33      33      32      28      32      35      35      35
2031   1     267     275      35      34      28      35      35      29     239     223      67     500
2031   2      40      35      43      34      39      33      31      30     128     236      40      38
2031   3      34      38      41      34      34      33      29      28      38     218      36      35
2031   4      44      35      34      33      33      33      32      28      32      35      35      35
2032   1     267     275      35      34      28      35      35      29     239     223      67     500
2032   2      40      35      43      34      39      33      31      30     128     236      40      38
2032   3      34      38      41      34      34      33      29      28      38     218      36      35
2032   4      44      35      34      33      33      33      32      28      32      35      35      35
2033   1     267     275      35      34      28      35      35      29     239     223      67     500
2033   2      40      35      43      34      39      33      31      30     128     236      40      38
2033   3      34      38      41      34      34      33      29      28      38     218      36      35
2033   4      44      35      34      33      33      33      32      28      32      35      35      35
2034   1     267     275      35      34      28      35      35      29     239     223      67     500
2034   2      40      35      43      34      39      33      31      30     128     236      40      38
2034   3      34      38      41      34      34      33      29      28      38     218      36      35
2034   4      44      35      34      33      33      33      32      28      32      35      35      35
2035   1     267     275      35      34      28      35      35      29     239     223      67     500
2035   2      40      35      43      34      39      33      31      30     128     236      40      38
2035   3      34      38      41      34      34      33      29      28      38     218      36      35
2035   4      44      35      34      33      33      33      32      28      32      35      35      35
2036   1     267     275      35      34      28      35      35      29     239     223      67     500
2036   2      40      35      43      34      39      33      31      30     128     236      40      38
2036   3      34      38      41      34      34      33      29      28      38     218      36      35
2036   4      44      35      34      33      33      33      32      28      32      35      35      35
2037   1     267     275      35      34      28      35      35      29     239     223      67     500
2037   2      40      35      43      34      39      33      31      30     128     236      40      38
2037   3      34      38      41      34      34      33      29      28      38     218      36      35
2037   4      44      35      34      33      33      33      32      28      32      35      35      35
2038   1     267     275      35      34      28      35      35      29     239     223      67     500
2038   2      40      35      43      34      39      33      31      30     128     236      40      38
2038   3      34      38      41      34      34      33      29      28      38     218      36      35
2038   4      44      35      34      33      33      33      32      28      32      35      35      35
2039   1     267     275      35      34      28      35      35      29     239     223      67     500
2039   2      40      35      43      34      39      33      31      30     128     236      40      38
2039   3      34      38      41      34      34      33      29      28      38     218      36      35
2039   4      44      35      34      33      33      33      32      28      32      35      35      35
****   8.3288  50 JAGUARI      :>: H: 120                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1       0       1       2       9       1      11      16      17       5       4       7       1
2025   2       0       0       1       1      16      16      15      20       9       3       5       1
2025   3       1       1       1       1      19      19      15      21       6       3       5       1
2025   4       1       1       1       1      19      19      14      18       2       1       6       1
2026   1       0       1       2       9       1      11      16      17       5       4       7       1
2026   2       0       0       1       1      16      16      15      20       9       3       5       1
2026   3       1       1       1       1      19      19      15      21       6       3       5       1
2026   4       1       1       1       1      19      19      14      18       2       1       6       1
2027   1       0       1       2       9       1      11      16      17       5       4       7       1
2027   2       0       0       1       1      16      16      15      20       9       3       5       1
2027   3       1       1       1       1      19      19      15      21       6       3       5       1
2027   4       1       1       1       1      19      19      14      18       2       1       6       1
2028   1       0       1       2       9       1      11      16      17       5       4       7       1
2028   2       0       0       1       1      16      16      15      20       9       3       5       1
2028   3       1       1       1       1      19      19      15      21       6       3       5       1
2028   4       1       1       1       1      19      19      14      18       2       1       6       1
2029   1       0       1       2       9       1      11      16      17       5       4       7       1
2029   2       0       0       1       1      16      16      15      20       9       3       5       1
2029   3       1       1       1       1      19      19      15      21       6       3       5       1
2029   4       1       1       1       1      19      19      14      18       2       1       6       1
2030   1       0       1       2       9       1      11      16      17       5       4       7       1
2030   2       0       0       1       1      16      16      15      20       9       3       5       1
2030   3       1       1       1       1      19      19      15      21       6       3       5       1
2030   4       1       1       1       1      19      19      14      18       2       1       6       1
2031   1       0       1       2       9       1      11      16      17       5       4       7       1
2031   2       0       0       1       1      16      16      15      20       9       3       5       1
2031   3       1       1       1       1      19      19      15      21       6       3       5       1
2031   4       1       1       1       1      19      19      14      18       2       1       6       1
2032   1       0       1       2       9       1      11      16      17       5       4       7       1
2032   2       0       0       1       1      16      16      15      20       9       3       5       1
2032   3       1       1       1       1      19      19      15      21       6       3       5       1
2032   4       1       1       1       1      19      19      14      18       2       1       6       1
2033   1       0       1       2       9       1      11      16      17       5       4       7       1
2033   2       0       0       1       1      16      16      15      20       9       3       5       1
2033   3       1       1       1       1      19      19      15      21       6       3       5       1
2033   4       1       1       1       1      19      19      14      18       2       1       6       1
