NUM:  66 ITAIPU                Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 24.78 19.44 16.13  14.4 13.06 13.61 16.85 19.49  21.3 21.62 27.54 28.04
2026 25.28 19.75 16.38 14.62 13.22 13.77 17.14 19.85 21.65 21.95 28.07 28.62
2027 25.78 20.06 16.63 14.85 13.37 13.94 17.43 20.19 21.93 22.23 28.53 29.07
2028 26.27 20.27 16.88 15.08 13.53  14.1 17.73 20.57 22.35 22.61 29.13  29.8
2029 26.79 20.69 17.14  15.3 13.69 14.27 18.02 20.93  22.7 22.93 29.66 30.38
2030 27.29    21 17.39 15.53 13.84 14.43 18.31 21.29 23.05 23.26  30.2 30.99
2031 27.81 21.33 17.65 15.77 14.01 14.61 18.62 21.65 23.36 23.56 30.69 31.46
2032 28.33 21.54 17.93 16.03 14.19  14.8 18.95 22.07 23.81 23.98 31.33 32.25
2033  28.9 22.02 18.22 16.29 14.38 14.99 19.28 22.47 24.19 24.34  31.9 32.88
2034 29.44 22.37  18.5 16.55 14.56 15.18 19.61 22.87 24.57  24.7 32.47 33.51
2035 29.99 22.72 18.78 16.81 14.74 15.38 19.93 23.23 24.89    25 32.96 33.97
2036 30.51 22.91 19.07 17.06 14.93 15.57 20.26 23.66 25.34 25.42  33.6 34.77
2037 31.07 23.41 19.35 17.32 15.11 15.76 20.58 24.05 25.72 25.78 34.17  35.4
2038 31.61 23.75 19.63 17.57 15.29 15.95 20.91 24.45  26.1 26.13 34.73 36.03
2039 32.16  24.1 19.91 17.83 15.47 16.14 21.23  24.8 26.41 26.42 35.22 36.47
2040     0     0     0     0     0     0     0     0     0     0     0     0
