NUM: 117 GUARAPIRANGA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 10.24 10.25 10.25 10.36 10.35 10.28  10.3 10.32  10.3 10.29  10.3  10.3
2026  10.3 10.31 10.31 10.42 10.41 10.34 10.36 10.38 10.36 10.35 10.36 10.35
2027 10.36 10.36 10.37 10.48 10.47  10.4 10.42 10.44 10.42 10.41 10.41 10.41
2028 10.41 10.42 10.42 10.53 10.52 10.45 10.47 10.49 10.47 10.46 10.46 10.46
2029 10.46 10.47 10.47 10.59 10.58  10.5 10.52 10.54 10.52 10.51 10.51 10.51
2030 10.51 10.52 10.52 10.64 10.63 10.55 10.57 10.59 10.57 10.55 10.56 10.55
2031 10.56 10.56 10.56 10.68 10.67 10.59 10.61 10.64 10.61  10.6  10.6 10.59
2032  10.6  10.6  10.6 10.73 10.72 10.63 10.65 10.68 10.65 10.64 10.64 10.63
2033 10.64 10.64 10.64 10.77 10.76 10.67 10.69 10.72 10.69 10.67 10.68 10.67
2034 10.67 10.68 10.68 10.81  10.8 10.71 10.73 10.76 10.72 10.71 10.71 10.71
2035 10.71 10.71 10.71 10.85 10.83 10.74 10.76 10.79 10.76 10.74 10.75 10.74
2036 10.74 10.75 10.75 10.88 10.87 10.77  10.8 10.82 10.79 10.77 10.78 10.77
2037 10.77 10.78 10.78 10.91  10.9  10.8 10.83 10.85 10.82  10.8  10.8  10.8
2038  10.8  10.8  10.8 10.94 10.93 10.83 10.85 10.88 10.84 10.83 10.83 10.82
2039 10.82 10.83 10.83 10.97 10.96 10.86 10.88 10.91 10.87 10.85 10.85 10.85
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 118 BILLINGS              Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  5.51  5.51  5.51  5.52  5.52  5.53  5.54  5.56  5.55  5.54  5.54  5.54
2026  5.54  5.55  5.55  5.56  5.56  5.57  5.58   5.6  5.58  5.58  5.58  5.57
2027  5.58  5.58  5.59  5.59   5.6   5.6  5.61  5.63  5.62  5.61  5.61  5.61
2028  5.61  5.62  5.62  5.63  5.63  5.63  5.65  5.67  5.65  5.64  5.65  5.64
2029  5.65  5.65  5.65  5.66  5.66  5.67  5.68   5.7  5.68  5.67  5.68  5.67
2030  5.68  5.68  5.68  5.69  5.69   5.7  5.71  5.73  5.71   5.7  5.71   5.7
2031  5.71  5.71  5.71  5.72  5.72  5.73  5.74  5.76  5.74  5.73  5.74  5.73
2032  5.73  5.74  5.74  5.75  5.75  5.75  5.77  5.79  5.77  5.76  5.76  5.76
2033  5.76  5.76  5.77  5.77  5.78  5.78   5.8  5.82   5.8  5.79  5.79  5.78
2034  5.79  5.79  5.79   5.8   5.8   5.8  5.82  5.84  5.82  5.81  5.81  5.81
2035  5.81  5.81  5.82  5.82  5.83  5.83  5.84  5.87  5.84  5.83  5.84  5.83
2036  5.83  5.84  5.84  5.84  5.85  5.85  5.87  5.89  5.87  5.85  5.86  5.85
2037  5.85  5.86  5.86  5.86  5.87  5.87  5.89  5.91  5.89  5.87  5.88  5.87
2038  5.87  5.87  5.88  5.88  5.89  5.89  5.91  5.93   5.9  5.89  5.89  5.89
2039  5.89  5.89  5.89   5.9   5.9  5.91  5.92  5.94  5.92  5.91  5.91   5.9
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 119 HENRY BORDEN          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025     0     0     0     0     0     0     0     0     0     0     0     0
2026     0     0     0     0     0     0     0     0     0     0     0     0
2027     0     0     0     0     0     0     0     0     0     0     0     0
2028     0     0     0     0     0     0     0     0     0     0     0     0
2029     0     0     0     0     0     0     0     0     0     0     0     0
2030     0     0     0     0     0     0     0     0     0     0     0     0
2031     0     0     0     0     0     0     0     0     0     0     0     0
2032     0     0     0     0     0     0     0     0     0     0     0     0
2033     0     0     0     0     0     0     0     0     0     0     0     0
2034     0     0     0     0     0     0     0     0     0     0     0     0
2035     0     0     0     0     0     0     0     0     0     0     0     0
2036     0     0     0     0     0     0     0     0     0     0     0     0
2037     0     0     0     0     0     0     0     0     0     0     0     0
2038     0     0     0     0     0     0     0     0     0     0     0     0
2039     0     0     0     0     0     0     0     0     0     0     0     0
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 120 JAGUARI               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  5.23  5.23  5.24  5.28  5.27  5.27  5.29  5.31  5.29  5.27  5.26  5.24
2026  5.24  5.24  5.24  5.28  5.27  5.27  5.29  5.32  5.29  5.27  5.27  5.24
2027  5.24  5.24  5.24  5.29  5.28  5.27  5.29  5.32   5.3  5.27  5.27  5.24
2028  5.24  5.24  5.24  5.29  5.28  5.27  5.29  5.32   5.3  5.27  5.27  5.24
2029  5.24  5.24  5.24  5.29  5.28  5.27   5.3  5.33   5.3  5.27  5.27  5.24
2030  5.24  5.24  5.24  5.29  5.28  5.28   5.3  5.33   5.3  5.27  5.27  5.24
2031  5.24  5.24  5.24  5.29  5.28  5.28   5.3  5.33   5.3  5.27  5.27  5.24
2032  5.24  5.24  5.24   5.3  5.29  5.28   5.3  5.34  5.31  5.28  5.27  5.24
2033  5.24  5.24  5.24   5.3  5.29  5.28   5.3  5.34  5.31  5.28  5.28  5.24
2034  5.24  5.24  5.24   5.3  5.29  5.28  5.31  5.34  5.31  5.28  5.28  5.24
2035  5.24  5.24  5.24   5.3  5.29  5.28  5.31  5.34  5.31  5.28  5.28  5.24
2036  5.24  5.24  5.24   5.3  5.29  5.29  5.31  5.35  5.32  5.28  5.28  5.24
2037  5.24  5.24  5.24  5.31  5.29  5.29  5.31  5.35  5.32  5.28  5.28  5.24
2038  5.24  5.24  5.25  5.31   5.3  5.29  5.32  5.35  5.32  5.28  5.28  5.24
2039  5.24  5.24  5.25  5.31   5.3  5.29  5.32  5.36  5.32  5.29  5.28  5.24
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 121 PARAIBUNA/PA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.27  0.27  0.25  0.27  0.27  0.27  0.28  0.32  0.36  0.39  0.39   0.3
2026  0.27  0.27  0.25  0.28  0.27  0.27  0.29  0.32  0.36  0.39  0.39   0.3
2027  0.27  0.27  0.26  0.28  0.28  0.28  0.29  0.33  0.36  0.39  0.39   0.3
2028  0.28  0.28  0.26  0.29  0.29  0.28   0.3  0.33  0.37  0.39  0.39  0.31
2029  0.28  0.28  0.26   0.3  0.29  0.29   0.3  0.34  0.37  0.39  0.39  0.31
2030  0.28  0.28  0.27   0.3   0.3  0.29  0.31  0.34  0.37  0.39  0.39  0.31
2031  0.29  0.29  0.27  0.31  0.31   0.3  0.31  0.35  0.37  0.39  0.39  0.31
2032  0.29  0.29  0.28  0.31  0.31   0.3  0.32  0.35  0.38  0.39  0.39  0.32
2033  0.29  0.29  0.28  0.32  0.32  0.31  0.32  0.36  0.38  0.39  0.39  0.32
2034   0.3   0.3  0.29  0.33  0.32  0.31  0.33  0.36  0.38  0.39  0.39  0.32
2035   0.3   0.3  0.29  0.33  0.33  0.32  0.33  0.36  0.38  0.39  0.39  0.32
2036   0.3  0.31  0.29  0.34  0.33  0.32  0.33  0.37  0.39   0.4  0.39  0.33
2037  0.31  0.31   0.3  0.34  0.34  0.33  0.34  0.37  0.39   0.4  0.39  0.33
2038  0.31  0.31   0.3  0.35  0.35  0.33  0.34  0.38  0.39   0.4  0.39  0.33
2039  0.31  0.31  0.31  0.35  0.35  0.34  0.35  0.38  0.39   0.4  0.39  0.33
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 122 S.BRANCA PAR          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.05  0.04  0.04  0.04  0.04
2026  0.04  0.04  0.04  0.04  0.04  0.04  0.04  0.05  0.04  0.04  0.04  0.04
2027  0.04  0.04  0.04  0.05  0.04  0.04  0.04  0.05  0.04  0.04  0.04  0.04
2028  0.04  0.04  0.04  0.05  0.04  0.04  0.04  0.05  0.05  0.04  0.04  0.04
2029  0.04  0.04  0.04  0.05  0.04  0.04  0.05  0.05  0.05  0.04  0.04  0.04
2030  0.04  0.04  0.04  0.05  0.04  0.04  0.05  0.05  0.05  0.04  0.04  0.04
2031  0.04  0.04  0.04  0.05  0.05  0.04  0.05  0.05  0.05  0.04  0.04  0.04
2032  0.04  0.04  0.04  0.05  0.05  0.04  0.05  0.05  0.05  0.04  0.05  0.04
2033  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.04
2034  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.04
2035  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.04
2036  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.04
2037  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.05  0.04
2038  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.06  0.05  0.05  0.05  0.04
2039  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.06  0.05  0.05  0.05  0.04
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 123 FUNIL                 Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  2.46  2.44  2.23  2.26  2.21  2.33  2.53  2.85  3.45  3.83  3.93   2.9
2026  2.47  2.44  2.25  2.28  2.24  2.35  2.55  2.86  3.43   3.8   3.9  2.89
2027  2.47  2.45  2.26   2.3  2.27  2.37  2.56  2.87   3.4  3.76  3.85  2.88
2028  2.47   2.5  2.27  2.33  2.29  2.39  2.58  2.87  3.41  3.73  3.82  2.87
2029  2.48  2.46  2.28  2.35  2.32  2.41  2.59  2.88  3.39   3.7  3.78  2.86
2030  2.48  2.46  2.29  2.38  2.34  2.43   2.6  2.89  3.38  3.67  3.75  2.85
2031  2.48  2.46   2.3   2.4  2.37  2.44  2.62   2.9  3.35  3.63   3.7  2.84
2032  2.48  2.51  2.31  2.42   2.4  2.46  2.63  2.91  3.35   3.6  3.67  2.83
2033  2.49  2.47  2.32  2.45  2.42  2.48  2.65  2.91  3.34  3.57  3.63  2.82
2034  2.49  2.47  2.33  2.47  2.45   2.5  2.66  2.92  3.32  3.53  3.59   2.8
2035  2.49  2.47  2.34  2.49  2.47  2.51  2.67  2.93  3.29  3.49  3.54  2.79
2036  2.49  2.51  2.35  2.51  2.49  2.53  2.68  2.93  3.29  3.46  3.51  2.78
2037  2.49  2.48  2.36  2.53  2.52  2.55  2.69  2.94  3.27  3.43  3.47  2.76
2038  2.49  2.48  2.37  2.56  2.54  2.56  2.71  2.94  3.25  3.39  3.43  2.75
2039  2.49  2.48  2.38  2.58  2.56  2.58  2.72  2.95  3.23  3.35  3.38  2.73
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 124 LAJES                 Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  4.17  4.17  4.17  4.18  4.18  4.18  4.18  4.18  4.18  4.18  4.18  4.19
2026  4.19  4.19  4.19  4.19   4.2   4.2   4.2   4.2   4.2   4.2   4.2   4.2
2027   4.2   4.2  4.21  4.21  4.21  4.21  4.21  4.22  4.22  4.22  4.22  4.22
2028  4.22  4.22  4.22  4.22  4.23  4.23  4.23  4.23  4.23  4.23  4.23  4.23
2029  4.23  4.23  4.23  4.24  4.24  4.24  4.24  4.24  4.24  4.24  4.24  4.24
2030  4.24  4.25  4.25  4.25  4.25  4.25  4.25  4.25  4.26  4.25  4.25  4.25
2031  4.26  4.26  4.26  4.26  4.26  4.26  4.26  4.27  4.27  4.27  4.26  4.26
2032  4.27  4.27  4.27  4.27  4.27  4.27  4.27  4.28  4.28  4.27  4.27  4.27
2033  4.27  4.28  4.28  4.28  4.28  4.28  4.28  4.28  4.28  4.28  4.28  4.28
2034  4.28  4.28  4.28  4.29  4.29  4.29  4.29  4.29  4.29  4.29  4.29  4.29
2035  4.29  4.29  4.29  4.29   4.3   4.3   4.3   4.3   4.3   4.3   4.3  4.29
2036   4.3   4.3   4.3   4.3   4.3   4.3   4.3   4.3   4.3   4.3   4.3   4.3
2037   4.3   4.3   4.3  4.31  4.31  4.31  4.31  4.31  4.31  4.31   4.3   4.3
2038   4.3  4.31   4.3  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31
2039  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31  4.31
2040     0     0     0     0     0     0     0     0     0     0     0     0
