NUM: 225 SLT APIACAS           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08
2026  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08
2027  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08
2028  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08
2029  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08
2030  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08
2031  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08  0.08
2032  0.08  0.08  0.08  0.08  0.08  0.09  0.09  0.09  0.09  0.09  0.09  0.09
2033  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09
2034  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09
2035  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09
2036  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09
2037  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09
2038  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09
2039  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09  0.09
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 227 SINOP                 Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.79  0.65  0.71     8 27.18 24.11 12.15  7.77  5.21  2.48  1.34   0.7
2026   0.8  0.67  0.73  8.52 29.13 25.88 13.01   8.2  5.41  2.47  1.33  0.72
2027  0.81  0.69  0.74  9.04 31.07 27.65 13.88  8.63  5.59  2.47   1.3  0.74
2028  0.82  0.71  0.76  9.57 33.02 29.43 14.74  9.08  5.83  2.47   1.3  0.76
2029  0.84  0.73  0.78 10.09 34.96  31.2 15.61  9.53  6.05  2.48  1.29  0.78
2030  0.85  0.75  0.79 10.62 36.91 32.98 16.48  9.97  6.27  2.48  1.28  0.79
2031  0.87  0.77  0.81 11.18 38.96 34.85  17.4 10.44  6.48  2.49  1.27  0.81
2032  0.88  0.79  0.83 11.73 41.03 36.73 18.33 10.94  6.75  2.51  1.27  0.83
2033  0.89  0.81  0.84 12.29 43.09 38.61 19.25 11.43     7  2.53  1.27  0.85
2034  0.91  0.83  0.86 12.85 45.15 40.48 20.18 11.92  7.25  2.55  1.27  0.87
2035  0.92  0.85  0.88 13.41 47.21 42.36  21.1 12.39  7.46  2.57  1.26  0.88
2036  0.94  0.87   0.9 13.96 49.27 44.24 22.03  12.9  7.75   2.6  1.26   0.9
2037  0.95  0.89  0.91 14.52 51.33 46.12 22.95  13.4  8.01  2.63  1.27  0.92
2038  0.97  0.91  0.93 15.08 53.39 47.99 23.88  13.9  8.27  2.66  1.27  0.94
2039  0.98  0.93  0.95 15.64 55.45 49.87  24.8 14.37  8.48  2.69  1.27  0.95
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 228 COLIDER               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.04  0.04  0.04  0.04
2026  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.04  0.04  0.04  0.04
2027  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.04  0.04  0.04  0.04
2028  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.04  0.04  0.04  0.04
2029  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.04  0.04  0.04  0.04
2030  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.04  0.04  0.04  0.04
2031  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.04  0.04  0.04  0.04
2032  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.05  0.04  0.04  0.04  0.04
2033  0.04  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.04  0.04  0.04  0.04
2034  0.04  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.04  0.04  0.04  0.04
2035  0.04  0.04  0.04  0.04  0.04  0.05  0.05  0.05  0.04  0.04  0.03  0.03
2036  0.03  0.03  0.03  0.03  0.04  0.05  0.05  0.05  0.04  0.04  0.03  0.03
2037  0.03  0.03  0.03  0.03  0.04  0.05  0.05  0.05  0.04  0.04  0.03  0.03
2038  0.03  0.03  0.03  0.03  0.04  0.05  0.05  0.05  0.04  0.03  0.03  0.03
2039  0.03  0.03  0.03  0.03  0.04  0.05  0.05  0.05  0.04  0.03  0.03  0.03
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 229 TELES PIRES           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 12.66 12.66 12.67 12.68 12.99 13.25 13.25 13.18  12.9 12.72  12.7  12.7
2026  12.7 12.71 12.71 12.72 13.04 13.31 13.31 13.23 12.94 12.76 12.74 12.74
2027 12.74 12.75 12.75 12.76 13.09 13.36 13.36 13.29 12.99  12.8 12.78 12.78
2028 12.78 12.79 12.79  12.8 13.14 13.42 13.42 13.34 13.04 12.84 12.82 12.82
2029 12.82 12.83 12.83 12.84 13.19 13.48 13.48  13.4 13.08 12.89 12.86 12.86
2030 12.86 12.87 12.87 12.88 13.24 13.54 13.53 13.45 13.13 12.93  12.9  12.9
2031  12.9 12.91 12.91 12.92 13.29  13.6 13.59 13.51 13.18 12.97 12.94 12.95
2032 12.95 12.95 12.96 12.97 13.35 13.66 13.66 13.57 13.23 13.02 12.99 12.99
2033    13    13    13 13.02 13.41 13.73 13.72 13.64 13.28 13.07 13.04 13.04
2034 13.04 13.05 13.05 13.06 13.46 13.79 13.79  13.7 13.34 13.12 13.08 13.09
2035 13.09 13.09  13.1 13.11 13.52 13.85 13.85 13.76 13.39 13.16 13.13 13.13
2036 13.14 13.14 13.14 13.16 13.58 13.92 13.91 13.82 13.44 13.21 13.18 13.18
2037 13.18 13.19 13.19  13.2 13.63 13.98 13.98 13.88  13.5 13.26 13.22 13.22
2038 13.23 13.23 13.24 13.25 13.69 14.04 14.04 13.94 13.55  13.3 13.27 13.27
2039 13.28 13.28 13.28  13.3 13.74 14.11  14.1    14  13.6 13.35 13.32 13.32
2040     0     0     0     0     0     0     0     0     0     0     0     0
