$version=1
!Constraint,Element,ElementType,Coefficient
1,5627,8,1
1,10562,8,1
1,10561,8,1
1,10564,8,1
1,10563,8,1
1,5646,8,1
1,5647,8,1
1,464,8,1
1,465,8,1
1,534,8,1
1,505,8,1
1,502,8,1
1,506,8,1
1,503,8,1
1,504,8,1
1,8979,8,1
1,5508,8,-1
1,5509,8,-1
1,5345,8,-1
1,449,8,-1
1,401,8,-1
1,410,8,-1
1,3186,8,-1
1,53,8,-1
1,54,8,-1
2,5423,8,1
2,5437,8,1
2,5436,8,1
2,10623,8,1
2,10624,8,1
2,5447,8,1
2,5448,8,1
2,5413,8,1
2,5414,8,1
2,650,8,1
2,523,8,1
2,517,8,1
2,516,8,1
2,515,8,1
2,3254,8,1
2,3310,8,1
2,3183,8,1
2,3188,8,-1
2,3302,8,-1
2,3303,8,-1
2,10639,8,-1
3,5627,8,1
3,10565,8,1
3,10566,8,1
3,3188,8,1
3,464,8,1
3,465,8,1
3,534,8,1
3,505,8,1
3,8979,8,1
3,517,8,-1
3,515,8,-1
3,449,8,-1
3,53,8,-1
3,410,8,-1
3,5423,8,-1
3,5436,8,-1
3,10623,8,-1
3,10624,8,-1
3,5448,8,-1
3,5414,8,-1
3,5508,8,-1
3,5345,8,-1
3,650,8,-1
3,523,8,-1
3,516,8,-1
3,54,8,-1
3,401,8,-1
3,5437,8,-1
3,5447,8,-1
3,5413,8,-1
3,5509,8,-1
3,10619,8,-1
3,10560,8,-1
4,517,8,1
4,515,8,1
4,449,8,1
4,53,8,1
4,410,8,1
4,5423,8,1
4,5436,8,1
4,10623,8,1
4,10624,8,1
4,5448,8,1
4,5414,8,1
4,5508,8,1
4,5345,8,1
4,650,8,1
4,523,8,1
4,516,8,1
4,54,8,1
4,401,8,1
4,5437,8,1
4,5447,8,1
4,5413,8,1
4,5509,8,1
4,10619,8,1
4,10560,8,1
4,5627,8,-1
4,10565,8,-1
4,10566,8,-1
4,3188,8,-1
4,464,8,-1
4,465,8,-1
4,534,8,-1
4,505,8,-1
4,8979,8,-1
5,2166,8,1
5,2370,8,1
5,10593,8,1
5,2165,8,1
5,12506,9,1
5,3751,8,1
5,12508,9,1
5,12507,9,1
5,3172,8,1
5,2762,8,1
5,2365,8,-1
5,3767,8,-1
5,3154,8,-1
5,3999,8,-1
5,3772,8,-1
5,3153,8,-1
5,4035,8,-1
5,4036,8,-1
5,3747,8,-1
5,3748,8,-1
5,2752,8,-1
5,2753,8,-1
7,2365,8,1
7,3767,8,1
7,3154,8,1
7,3999,8,1
7,3772,8,1
7,3153,8,1
7,4035,8,1
7,4036,8,1
7,2727,8,1
7,2752,8,1
7,2753,8,1
7,2166,8,-1
7,2370,8,-1
7,2165,8,-1
7,2729,8,-1
7,2728,8,-1
7,3172,8,-1
7,2762,8,-1
8,3254,8,1
8,3183,8,1
8,3310,8,1
8,10639,8,-1
9,3302,8,-1
9,3303,8,-1
10,3203,8,1
10,3304,8,-1
11,5159,8,1
11,5160,8,1
12,5508,8,1
12,10560,8,1
12,10619,8,1
12,5509,8,1
12,5345,8,1
12,449,8,1
12,53,8,1
12,54,8,1
12,410,8,1
12,401,8,1
12,5627,8,-1
12,10565,8,-1
12,10566,8,-1
12,464,8,-1
12,465,8,-1
12,534,8,-1
12,505,8,-1
12,8979,8,-1
13,5423,8,1
13,5437,8,1
13,5436,8,1
13,10623,8,1
13,10624,8,1
13,5447,8,1
13,5448,8,1
13,5413,8,1
13,5414,8,1
13,650,8,1
13,523,8,1
13,517,8,1
13,516,8,1
13,515,8,1
13,3188,8,-1
14,12991,9,1
14,3276,8,1
14,3277,8,1
14,12992,9,1
14,3278,8,1
15,9062,8,-1
15,9064,8,-1
15,9066,8,-1
16,9061,8,-1
16,9063,8,-1
16,9065,8,-1
17,3337,8,1
17,3323,8,1
17,3322,8,1
17,3325,8,1
17,3324,8,1
17,3329,8,1
17,3330,8,1
17,3338,8,1
100,18205,19,1
100,18206,19,-1
101,18207,19,1
101,18208,19,-1
102,18213,19,1
102,18214,19,-1
103,18215,19,-1
103,18216,19,1
106,18219,19,1
106,18220,19,-1
107,18217,19,1
107,18218,19,-1
104,18209,19,1
104,18210,19,-1
105,18211,19,1
105,18212,19,-1
