$version=1
!code,Date,block,UB
2,2025/01/01,1,15600
2,2025/01/01,2,15600
2,2025/01/01,3,13200
2,2025/01/01,4,15200
2,2025/04/01,1,16200
2,2025/04/01,2,16200
2,2025/04/01,3,14200
2,2025/04/01,4,16200
2,2025/07/01,1,15000
2,2025/07/01,2,15000
2,2025/07/01,3,13900
2,2025/07/01,4,15000
2,2025/08/01,1,14000
2,2025/08/01,2,14000
2,2025/08/01,3,12900
2,2025/08/01,4,14000
2,2025/11/01,1,15000
2,2025/11/01,2,15000
2,2025/11/01,3,13900
2,2025/11/01,4,15000
2,2025/12/01,1,16000
2,2025/12/01,2,16000
2,2025/12/01,3,14900
2,2025/12/01,4,16000
2,2026/01/01,1,17400
2,2026/01/01,2,17400
2,2026/01/01,3,14900
2,2026/01/01,4,17400
2,2026/07/01,1,15000
2,2026/07/01,2,15000
2,2026/07/01,3,13900
2,2026/07/01,4,15000
2,2026/08/01,1,14000
2,2026/08/01,2,14000
2,2026/08/01,3,12900
2,2026/08/01,4,14000
2,2026/11/01,1,15000
2,2026/11/01,2,15000
2,2026/11/01,3,13900
2,2026/11/01,4,15000
2,2026/12/01,1,16000
2,2026/12/01,2,16000
2,2026/12/01,3,14900
2,2026/12/01,4,16000
2,2027/01/01,1,17400
2,2027/01/01,2,17400
2,2027/01/01,3,14900
2,2027/01/01,4,17400
2,2027/07/01,1,15000
2,2027/07/01,2,15000
2,2027/07/01,3,13900
2,2027/07/01,4,15000
2,2027/08/01,1,14000
2,2027/08/01,2,14000
2,2027/08/01,3,12900
2,2027/08/01,4,14000
2,2027/10/01,1,14900
2,2027/10/01,2,14900
2,2027/10/01,3,13500
2,2027/10/01,4,14900
2,2027/11/01,1,15900
2,2027/11/01,2,15900
2,2027/11/01,3,14500
2,2027/11/01,4,15900
2,2027/12/01,1,16900
2,2027/12/01,2,16900
2,2027/12/01,3,15500
2,2027/12/01,4,16900
2,2028/01/01,1,18200
2,2028/01/01,2,18200
2,2028/01/01,3,15500
2,2028/01/01,4,18000
2,2028/07/01,1,15900
2,2028/07/01,2,15900
2,2028/07/01,3,14500
2,2028/07/01,4,15900
2,2028/08/01,1,14900
2,2028/08/01,2,14900
2,2028/08/01,3,13500
2,2028/08/01,4,14900
2,2028/10/01,1,15500
2,2028/10/01,2,15500
2,2028/10/01,3,13900
2,2028/10/01,4,15500
2,2028/11/01,1,16500
2,2028/11/01,2,16500
2,2028/11/01,3,14900
2,2028/11/01,4,16500
2,2028/12/01,1,17500
2,2028/12/01,2,17500
2,2028/12/01,3,15900
2,2028/12/01,4,17500
2,2029/01/01,1,18800
2,2029/01/01,2,18800
2,2029/01/01,3,15900
2,2029/01/01,4,18800
2,2029/07/01,1,16500
2,2029/07/01,2,16500
2,2029/07/01,3,14900
2,2029/07/01,4,16500
2,2029/08/01,1,15500
2,2029/08/01,2,15500
2,2029/08/01,3,13900
2,2029/08/01,4,15500
2,2029/10/01,1,18500
2,2029/10/01,2,18500
2,2029/10/01,3,17000
2,2029/10/01,4,18500
2,2029/11/01,1,19500
2,2029/11/01,2,19500
2,2029/11/01,3,18000
2,2029/11/01,4,19500
2,2029/12/01,1,20500
2,2029/12/01,2,20500
2,2029/12/01,3,19000
2,2029/12/01,4,20500
2,2030/01/01,1,20500
2,2030/01/01,2,20500
2,2030/01/01,3,19500
2,2030/01/01,4,20500
2,2030/04/01,1,25000
2,2030/04/01,2,25000
2,2030/04/01,3,24000
2,2030/04/01,4,25000
2,2030/07/01,1,23000
2,2030/07/01,2,23000
2,2030/07/01,3,22000
2,2030/07/01,4,23000
2,2030/08/01,1,21000
2,2030/08/01,2,21000
2,2030/08/01,3,20000
2,2030/08/01,4,21000
2,2030/10/01,1,22000
2,2030/10/01,2,22000
2,2030/10/01,3,21000
2,2030/10/01,4,22000
2,2030/11/01,1,23000
2,2030/11/01,2,23000
2,2030/11/01,3,22000
2,2030/11/01,4,23000
2,2030/12/01,1,24000
2,2030/12/01,2,24000
2,2030/12/01,3,23000
2,2030/12/01,4,24000
2,2031/01/01,1,25000
2,2031/01/01,2,25000
2,2031/01/01,3,24000
2,2031/01/01,4,25000
2,2031/07/01,1,23000
2,2031/07/01,2,23000
2,2031/07/01,3,22000
2,2031/07/01,4,23000
2,2031/08/01,1,21000
2,2031/08/01,2,21000
2,2031/08/01,3,20000
2,2031/08/01,4,21000
2,2031/10/01,1,22000
2,2031/10/01,2,22000
2,2031/10/01,3,21000
2,2031/10/01,4,22000
2,2031/11/01,1,23000
2,2031/11/01,2,23000
2,2031/11/01,3,22000
2,2031/11/01,4,23000
2,2031/12/01,1,24000
2,2031/12/01,2,24000
2,2031/12/01,3,23000
2,2031/12/01,4,24000
2,2032/01/01,1,25000
2,2032/01/01,2,25000
2,2032/01/01,3,24000
2,2032/01/01,4,25000
2,2032/07/01,1,23000
2,2032/07/01,2,23000
2,2032/07/01,3,22000
2,2032/07/01,4,23000
2,2032/08/01,1,21000
2,2032/08/01,2,21000
2,2032/08/01,3,20000
2,2032/08/01,4,21000
2,2032/10/01,1,22000
2,2032/10/01,2,22000
2,2032/10/01,3,21000
2,2032/10/01,4,22000
2,2032/11/01,1,23000
2,2032/11/01,2,23000
2,2032/11/01,3,22000
2,2032/11/01,4,23000
2,2032/12/01,1,24000
2,2032/12/01,2,24000
2,2032/12/01,3,23000
2,2032/12/01,4,24000
2,2033/01/01,1,25000
2,2033/01/01,2,25000
2,2033/01/01,3,24000
2,2033/01/01,4,25000
2,2033/07/01,1,23000
2,2033/07/01,2,23000
2,2033/07/01,3,22000
2,2033/07/01,4,23000
2,2033/08/01,1,21000
2,2033/08/01,2,21000
2,2033/08/01,3,20000
2,2033/08/01,4,21000
2,2033/10/01,1,22000
2,2033/10/01,2,22000
2,2033/10/01,3,21000
2,2033/10/01,4,22000
2,2033/11/01,1,23000
2,2033/11/01,2,23000
2,2033/11/01,3,22000
2,2033/11/01,4,23000
2,2033/12/01,1,24000
2,2033/12/01,2,24000
2,2033/12/01,3,23000
2,2033/12/01,4,24000
2,2034/01/01,1,25000
2,2034/01/01,2,25000
2,2034/01/01,3,24000
2,2034/01/01,4,25000
2,2034/07/01,1,23000
2,2034/07/01,2,23000
2,2034/07/01,3,22000
2,2034/07/01,4,23000
2,2034/08/01,1,21000
2,2034/08/01,2,21000
2,2034/08/01,3,20000
2,2034/08/01,4,21000
2,2034/10/01,1,22000
2,2034/10/01,2,22000
2,2034/10/01,3,21000
2,2034/10/01,4,22000
2,2034/11/01,1,23000
2,2034/11/01,2,23000
2,2034/11/01,3,22000
2,2034/11/01,4,23000
2,2034/12/01,1,24000
2,2034/12/01,2,24000
2,2034/12/01,3,23000
2,2034/12/01,4,24000
2,2035/01/01,1,25000
2,2035/01/01,2,25000
2,2035/01/01,3,24000
2,2035/01/01,4,25000
2,2035/07/01,1,23000
2,2035/07/01,2,23000
2,2035/07/01,3,22000
2,2035/07/01,4,23000
2,2035/08/01,1,21000
2,2035/08/01,2,21000
2,2035/08/01,3,20000
2,2035/08/01,4,21000
2,2035/10/01,1,22000
2,2035/10/01,2,22000
2,2035/10/01,3,21000
2,2035/10/01,4,22000
2,2035/11/01,1,23000
2,2035/11/01,2,23000
2,2035/11/01,3,22000
2,2035/11/01,4,23000
2,2035/12/01,1,24000
2,2035/12/01,2,24000
2,2035/12/01,3,23000
2,2035/12/01,4,24000
2,2036/01/01,1,25000
2,2036/01/01,2,25000
2,2036/01/01,3,24000
2,2036/01/01,4,25000
2,2036/07/01,1,23000
2,2036/07/01,2,23000
2,2036/07/01,3,22000
2,2036/07/01,4,23000
2,2036/08/01,1,21000
2,2036/08/01,2,21000
2,2036/08/01,3,20000
2,2036/08/01,4,21000
2,2036/10/01,1,22000
2,2036/10/01,2,22000
2,2036/10/01,3,21000
2,2036/10/01,4,22000
2,2036/11/01,1,23000
2,2036/11/01,2,23000
2,2036/11/01,3,22000
2,2036/11/01,4,23000
2,2036/12/01,1,24000
2,2036/12/01,2,24000
2,2036/12/01,3,23000
2,2036/12/01,4,24000
2,2037/01/01,1,25000
2,2037/01/01,2,25000
2,2037/01/01,3,24000
2,2037/01/01,4,25000
2,2037/07/01,1,23000
2,2037/07/01,2,23000
2,2037/07/01,3,22000
2,2037/07/01,4,23000
2,2037/08/01,1,21000
2,2037/08/01,2,21000
2,2037/08/01,3,20000
2,2037/08/01,4,21000
2,2037/10/01,1,22000
2,2037/10/01,2,22000
2,2037/10/01,3,21000
2,2037/10/01,4,22000
2,2037/11/01,1,23000
2,2037/11/01,2,23000
2,2037/11/01,3,22000
2,2037/11/01,4,23000
2,2037/12/01,1,24000
2,2037/12/01,2,24000
2,2037/12/01,3,23000
2,2037/12/01,4,24000
2,2038/01/01,1,25000
2,2038/01/01,2,25000
2,2038/01/01,3,24000
2,2038/01/01,4,25000
2,2038/07/01,1,23000
2,2038/07/01,2,23000
2,2038/07/01,3,22000
2,2038/07/01,4,23000
2,2038/08/01,1,21000
2,2038/08/01,2,21000
2,2038/08/01,3,20000
2,2038/08/01,4,21000
2,2038/10/01,1,22000
2,2038/10/01,2,22000
2,2038/10/01,3,21000
2,2038/10/01,4,22000
2,2038/11/01,1,23000
2,2038/11/01,2,23000
2,2038/11/01,3,22000
2,2038/11/01,4,23000
2,2038/12/01,1,24000
2,2038/12/01,2,24000
2,2038/12/01,3,23000
2,2038/12/01,4,24000
2,2039/01/01,1,25000
2,2039/01/01,2,25000
2,2039/01/01,3,24000
2,2039/01/01,4,25000
2,2039/07/01,1,23000
2,2039/07/01,2,23000
2,2039/07/01,3,22000
2,2039/07/01,4,23000
2,2039/08/01,1,21000
2,2039/08/01,2,21000
