$version=1
!Code,Name,Plant,Bus,Existing,NumberOfUnits,MinGen,MaxGen,ControlledBusCode,ReactivePowerControlType,MinReactivePower,MaxReactivePower,ReactivePowerFactor,DevOpt,GenDev,MaxDev,GR,GX,TR,TX,Tap
71,P._SERGI_P71,224,11149,0,1,,796.5,,0,,,,0,,,,,,,
72,P._SERGI_P70,224,11150,0,1,,796.5,,0,,,,0,,,,,,,
105,TERMOP_E62,96,160,0,1,,275,,0,,,,0,,,,,,,
106,TERMOP_E63,96,161,0,1,,275,,0,,,,0,,,,,,,
95,SUAPE_II64_2,170,96,0,1,,63.54333333333333,,0,,,,0,,,,,,,
96,SUAPE_II65_2,170,97,0,1,,63.54333333333333,,0,,,,0,,,,,,,
97,SUAPE_II66_2,170,98,0,1,,63.54333333333333,,0,,,,0,,,,,,,
98,SUAPE_II67_2,170,99,0,1,,63.54333333333333,,0,,,,0,,,,,,,
99,SUAPE_II68_2,170,100,0,1,,63.54333333333333,,0,,,,0,,,,,,,
100,SUAPE_II69_2,170,101,0,1,,63.54333333333333,,0,,,,0,,,,,,,
89,SUAPE_II64_1,811,96,1,1,,63.54333333333333,,0,,,,0,,,,,,,
90,SUAPE_II65_1,811,97,1,1,,63.54333333333333,,0,,,,0,,,,,,,
91,SUAPE_II66_1,811,98,1,1,,63.54333333333333,,0,,,,0,,,,,,,
92,SUAPE_II67_1,811,99,1,1,,63.54333333333333,,0,,,,0,,,,,,,
93,SUAPE_II68_1,811,100,1,1,,63.54333333333333,,0,,,,0,,,,,,,
94,SUAPE_II69_1,811,101,1,1,,63.54333333333333,,0,,,,0,,,,,,,
