**** Planta:  169 SOBRADINHO  
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2026 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2027 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2028 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2029 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2030 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2031 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2032 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2033 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2034 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2035 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2036 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2037 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2038 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
2039 27722.8 28898.2 31650.5 32625.2   34116   34116   34116   34116   34116   34116 30331.7 27894.8
**** Planta:  172 ITAPARICA   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2026 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2027 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2028 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2029 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2030 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2031 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2032 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2033 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2034 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2035 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2036 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2037 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2038 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
2039 9181.85 9181.85 9689.22 10310.1   10782   10782   10782   10782   10782   10782 9650.19 9181.85
**** Planta:  190 B. ESPERANCA
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2026 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2027 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2028 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2029 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2030 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2031 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2032 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2033 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2034 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2035 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2036 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2037 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2038 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
2039 4394.77 4394.77 4454.04 4723.63    5085    5085    5085    5085    5085    5085 4553.46 4404.33
