**** Planta:    1 CAMARGOS    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2026 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2027 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2028 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2029 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2030 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2031 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2032 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2033 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2034 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2035 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2036 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2037 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2038 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
2039 621.984  751.68     792     792     792     792     792     792     792     792  751.68 631.392
**** Planta:    6 FURNAS      
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2026 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2027 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2028 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2029 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2030 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2031 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2032 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2033 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2034 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2035 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2036 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2037 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2038 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
2039 21985.9 21985.9 22433.5   22950   22950   22950   22950   22950   22950   22950 22416.3 21985.9
**** Planta:    7 MASC. MORAES
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2026    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2027    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2028    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2029    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2030    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2031    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2032    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2033    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2034    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2035    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2036    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2037    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2038    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
2039    3540    3655    3885    4040    4040    4040    4040    4040    4040    4040    3680    3540
**** Planta:   14 CACONDE     
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2026  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2027  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2028  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2029  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2030  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2031  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2032  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2033  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2034  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2035  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2036  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2037  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2038  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
2039  534.84  544.92     555     555     555     555     555     555     555     555  524.76  524.76
**** Planta:   17 MARIMBONDO  
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2026 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2027 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2028 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2029 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2030 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2031 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2032 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2033 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2034 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2035 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2036 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2037 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2038 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2039 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
**** Planta:   18 A. VERMELHA 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2026 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2027 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2028 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2029 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2030 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2031 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
