**** Planta:   77 SLT.SANTIAGO
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2026    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2027    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2028    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2029    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2030    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2031    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2032    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2033    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2034    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2035    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2036    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2037    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2038    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
2039    6775    6775    6775    6775 6293.78 6293.78    6775    6775    6775    6775    6775    6775
**** Planta:  111 PASSO REAL  
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2026 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2027 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2028 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2029 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2030 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2031 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2032 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2033 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2034 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2035 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2036 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2037 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2038 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
2039 3243.16 3202.88 3202.88 3135.74 3135.74 3135.74 3343.87 3135.74 3135.74 3135.74 3202.88 3243.16
