**** Planta:    7 MASC. MORAES Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2026 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2027 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2028 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2029 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2030 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2031 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2032 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2033 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2034 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2035 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2036 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2037 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2038 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
2039 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75 1870.75
**** Planta:   34 _I. SOLTEIRA Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 18704.8 18704.8 18704.8 18704.8 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2026 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2027 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2028 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2029 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2030 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2031 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2032 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2033 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2034 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2035 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2036 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2037 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2038 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2039 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
**** Planta:   37 BARRA BONITA Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2026 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2027 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2028 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2029 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2030 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2031 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2032 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2033 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2034 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2035 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2036 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2037 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2038 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2039 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
**** Planta:   40 PROMISSAO    Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2026 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2027 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2028 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2029 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2030 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
